PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,18.48
2,6,10,18.85
3,11,15,18.80
4,16,20,18.81
5,21,25,18.14
6,26,30,18.84
7,31,35,19.30
8,36,40,18.86
9,41,45,19.16
10,46,50,18.37
11,51,55,18.25
12,56,60,18.54
13,61,65,18.76
14,66,70,19.21
15,71,75,19.06
16,76,80,18.88
17,81,85,19.21
18,86,90,19.10
19,91,95,19.33
20,96,100,19.95
21,101,105,20.38
22,106,110,20.86
23,111,115,21.06
24,116,120,20.48
25,121,125,21.15
26,126,130,21.66
27,131,135,20.42
28,136,140,21.52
29,141,145,21.53
30,146,150,21.75
31,151,155,21.44
32,156,160,21.75
33,161,165,22.12
34,166,170,23.12
35,171,175,23.21
36,176,180,24.01
37,181,185,22.34
38,186,190,22.54
39,191,195,22.09
40,196,200,21.87
41,201,205,21.92
42,206,210,22.57
43,211,215,21.29
44,216,220,19.52
45,221,225,19.42
46,226,230,19.47
47,231,235,20.14
48,236,240,20.65
49,241,245,21.58
50,246,250,21.12
51,251,255,19.42
52,256,260,20.09
53,261,265,18.71
54,266,270,18.94
55,271,275,20.22
56,276,280,20.66
57,281,285,19.82
58,286,290,19.82
59,291,295,20.24
60,296,300,20.82
61,301,305,21.21
62,306,310,21.97
63,311,315,22.40
64,316,320,19.95
65,321,325,19.63
66,326,330,19.79
67,331,335,20.87
68,336,340,21.03
69,341,345,20.83
70,346,350,21.85
71,351,355,20.34
72,356,360,20.68
,,OverallMean,20.42
,,PeriodStdDev,1.37
