Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,255,"1,351","1,396",218,300,"2,347","6,888",236,"5,542","2,028","1,204","1,833","1,766","4,513","2,414","1,558",740,"1,130","1,331"
Cartagena,196,-,546,"1,038",108,139,525,117,97,430,"2,716",801,248,"1,490",848,713,462,"1,090",135,165
Colombo,"1,315",522,-,"1,803",618,797,"5,557",872,668,649,"1,618","1,628",989,"2,667","3,596","3,578","3,009","1,496",308,"1,038"
Hamburg,645,907,"1,892",-,196,269,"2,876",445,200,576,"2,477","1,604",565,"2,876","2,286","2,287","1,023","2,549",267,599
Ho Chi Minh City,233,116,737,401,-,662,"1,126",171,540,553,346,321,246,617,"1,244","1,199","1,822",299,119,250
Jakarta,322,171,"1,054",502,446,-,"1,545",209,466,753,508,665,275,819,"1,620","1,591","1,468",368,176,302
Jebel Ali,"1,182",347,"5,254","1,970",540,740,-,812,528,"1,111","1,080","1,721",798,"3,040","2,162","2,245","2,492","2,468",244,866
Kaohsiung,"2,479",147,436,639,157,199,625,-,165,"3,540",706,451,887,716,"1,684",786,537,336,813,398
Laem Chabang,255,128,735,402,227,737,"1,201",175,-,624,363,457,243,573,"1,230","1,244","1,816",292,152,241
Los Angeles,"2,797",574,781,526,240,305,"1,113","1,213",231,-,"2,257",506,"2,098",825,"4,436","2,452",889,351,846,"1,211"
New Jersey,715,"3,524","1,616","2,532",162,186,"1,109",524,138,"2,003",-,"1,491",645,"3,033","2,318","2,019",705,"1,101",245,574
Piraeus,580,741,"1,552",998,188,213,"2,221",376,155,451,"1,486",-,499,"2,325","1,914","1,704",867,"2,130",199,483
Qingdao,"1,165",247,"1,004",803,203,305,"1,447","1,054",196,"5,066","1,230",911,-,991,"2,608",921,"1,183",557,446,45
Rotterdam,983,"1,408","2,855","1,687",308,439,"4,262",695,341,842,"3,899","1,595",907,-,"3,235","3,206","1,450","4,006",345,840
Shanghai,"2,847",696,"2,521","2,922",758,935,"3,240","1,882",753,"5,816","3,552","2,282","2,468","3,495",-,"2,316","3,571","1,543","1,678",977
Shenzhen,"3,259",620,"2,857","3,138",814,"1,081","4,616","2,136",857,"2,913","3,798","2,606",762,"4,221","1,804",-,"3,848","1,393",654,260
Singapore,"1,475",509,"2,920","1,642",904,"2,090","4,674",986,950,"2,717","1,504","1,456","1,302","2,415","4,924","5,001",-,"1,257",358,"1,385"
Tanger Med,512,949,"1,634","1,466",218,310,"2,374",310,221,354,"1,095","1,222",455,"2,051","1,698","1,566","1,036",-,202,421
Tianjin,909,183,769,721,138,204,"1,322",548,157,"1,986",901,621,992,"1,100","2,090",647,"1,066",398,-,42
Xiamen,"1,905",243,"1,274","1,255",231,287,"2,135","1,229",254,"1,571","1,580","1,038",435,"1,586","1,156","4,388","1,572",595,42,-
