Port,Origin Waiting TEU,Transshipment Waiting TEU,Total Waiting TEU,Vessels Waiting
Busan,730,167,897,0.02
Cartagena,267,0,267,0.01
Colombo,480,19,499,0.01
Hamburg,322,0,322,0.00
Ho Chi Minh City,92,0,92,0.05
Jakarta,111,0,111,0.05
Jebel Ali,442,0,442,0.00
Kaohsiung,250,101,351,0.13
Laem Chabang,94,0,94,0.02
Los Angeles,457,0,457,0.00
New Jersey,464,168,632,0.01
Piraeus,231,0,231,0.00
Qingdao,315,64,378,0.01
Rotterdam,445,0,445,0.01
Shanghai,668,"1,446","2,114",0.00
Shenzhen,494,147,641,0.00
Singapore,500,507,"1,007",0.01
Tanger Med,235,90,326,0.01
Tianjin,184,0,184,0.01
Xiamen,281,0,281,0.02
TOTAL,"7,063","2,708","9,771",0.37
