Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,37,61,156,11,14,130,85,13,496,213,118,8,198,34,39,56,77,5,29
Cartagena,32,-,60,40,13,18,57,20,13,94,33,40,41,55,111,98,56,32,24,25
Colombo,63,53,-,137,14,17,67,43,17,95,100,93,51,197,82,97,30,100,20,44
Hamburg,88,39,168,-,22,29,225,59,22,128,69,29,81,8,248,256,98,24,40,78
Ho Chi Minh City,13,16,29,43,-,8,57,10,2,81,32,27,16,64,40,42,15,28,9,13
Jakarta,19,22,35,50,4,-,68,12,5,106,46,52,17,80,50,55,6,33,13,15
Jebel Ali,66,44,63,127,18,24,-,48,20,167,92,79,49,190,72,84,53,137,18,45
Kaohsiung,16,29,29,85,12,13,49,-,12,263,87,54,14,93,31,17,32,43,9,8
Laem Chabang,13,17,26,41,4,7,57,9,-,94,33,38,14,58,36,41,10,28,11,12
Los Angeles,279,135,102,110,32,39,158,139,32,-,439,95,219,166,431,277,109,68,102,143
New Jersey,97,47,145,69,18,21,108,74,16,459,-,58,94,77,252,234,72,21,39,78
Piraeus,70,48,110,18,17,19,134,45,14,89,75,-,62,37,175,163,69,19,26,53
Qingdao,34,35,39,92,9,12,71,9,9,430,124,86,-,111,8,8,35,60,19,0
Rotterdam,131,57,248,4,32,46,324,95,36,194,101,25,131,-,352,350,137,29,52,109
Shanghai,14,91,61,288,22,24,112,12,24,471,297,184,20,339,-,14,53,139,36,4
Shenzhen,40,78,54,295,20,22,136,9,23,315,298,194,17,389,43,-,38,118,11,6
Singapore,55,58,29,139,4,9,99,41,7,354,105,96,55,198,68,92,-,96,20,46
Tanger Med,67,32,131,14,22,31,163,39,22,77,21,11,61,15,170,164,90,-,28,52
Tianjin,29,27,32,84,6,9,67,17,8,217,93,58,2,124,11,7,33,42,-,0
Xiamen,28,35,43,138,9,10,92,8,11,170,148,92,10,169,30,12,38,60,1,-
