Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,5,28,26,4,7,48,141,5,118,39,25,36,36,92,33,32,15,13,28
Cartagena,4,-,12,22,2,3,12,3,2,9,64,19,6,33,19,17,10,23,3,4
Colombo,15,10,-,21,12,16,110,11,14,9,23,19,12,31,41,40,62,18,4,12
Hamburg,8,24,21,-,3,3,33,5,2,7,57,18,7,33,26,24,12,29,3,7
Ho Chi Minh City,2,1,6,3,-,5,9,1,4,5,3,3,2,6,10,9,15,3,1,2
Jakarta,3,2,9,4,4,-,12,2,4,7,4,5,3,7,14,13,12,3,1,2
Jebel Ali,13,8,108,24,11,16,-,10,11,14,22,20,9,36,24,25,51,27,3,10
Kaohsiung,33,3,6,8,2,3,9,-,2,85,10,6,12,9,23,11,8,4,11,5
Laem Chabang,2,2,6,3,2,6,10,2,-,6,3,4,2,5,10,10,15,3,1,2
Los Angeles,52,12,14,11,5,6,21,26,4,-,44,9,40,16,85,48,17,6,17,25
New Jersey,10,92,22,55,2,2,25,7,2,32,-,33,9,67,31,28,10,25,4,9
Piraeus,7,13,18,11,2,2,27,5,2,6,18,-,6,28,21,20,10,27,2,6
Qingdao,14,4,12,11,3,3,18,24,2,114,16,11,-,12,32,11,15,8,5,0
Rotterdam,11,35,33,20,4,5,50,8,4,12,86,18,11,-,38,36,16,45,4,10
Shanghai,56,13,29,34,8,11,37,40,8,141,49,26,47,39,-,26,40,17,34,13
Shenzhen,33,12,34,37,9,13,52,28,10,38,53,30,8,49,19,-,46,16,7,3
Singapore,17,10,59,19,7,17,93,12,8,34,21,17,14,27,54,55,-,15,4,15
Tanger Med,7,23,19,17,2,3,28,3,2,5,25,14,5,24,20,18,12,-,2,5
Tianjin,11,3,11,9,2,3,16,6,2,25,11,8,12,13,26,8,13,5,-,0
Xiamen,24,4,15,16,3,3,25,15,3,19,18,13,5,20,15,56,19,7,1,-
