trial,candidate_key,status,overall_mean,period_stddev,peak_period_att,high_period_count,elapsed_seconds,return_code,trial_dir,error,alternative_route_min_active_multiplier,alternative_route_min_pressure,berth_carried_teu_weight,berth_final_unload_weight,berth_handling_penalty_weight,berth_min_unloading_teu_advantage,berth_override_margin,berth_transshipment_unload_weight,berth_unload_age_weight,berth_wait_weight,booking_call_history_size,booking_default_headway_days,booking_handling_buffer_days,booking_max_direct_extra_sailing_days,booking_max_headway_days,booking_min_direct_saving_days,booking_min_headway_days,booking_partial_prefix_end_measured_day,booking_partial_prefix_start_measured_day,closed_port_risk_penalty_days,congestion_risk_penalty_days,disruption_lookahead_days,enable_controlled_alternative_routes,enable_custom_berth_priority,enable_hub_transfer_consolidation,enable_in_transit_replanning,enable_initial_time_routing,enable_schedule_aware_booking,expected_route_wait_days,hard_congestion_multiplier,no_deployed_vessel_penalty_days,port_arrival_vessel_penalty_days,port_storage_penalty_days_per_1000_teu,port_storage_sample_size,replan_disruption_trigger_days,replan_min_saving_days,route_pressure_penalty_days,route_pressure_sample_size,suppress_kaohsiung_s2_detour,transshipment_penalty_days
45,32eb6971e77a6941d099be41e62d5574c8309dea,success,20.01,1.06,23.52,14,925.01,0,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/bayesian_optuna/trial_00045_32eb6971e7,,2.0,0.45,0.06,0.42,0.1,8.0,0.16,0.18,0.18,0.12,12.0,7.0,0.25,3.25,12.0,1.0,2.0,250.0,81.0,9.0,2.4,21.0,0.0,0.0,1.0,0.0,1.0,1.0,3.5,7.0,5.0,0.55,0.18,600.0,0.25,1.0,1.9,240.0,0.0,1.2
46,83bbcbc3e72c1f749205bd8150cd4ba12e49d8e5,interrupted,,,,,551.74,,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/bayesian_optuna/trial_00046_83bbcbc3e7,Interrupted by Ctrl+C.,2.0,0.45,0.06,0.42,0.1,8.0,0.16,0.18,0.18,0.12,12.0,7.0,0.6000000000000001,5.0,15.0,0.25,3.25,250.0,81.0,13.0,1.0,15.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,7.0,5.0,0.8500000000000001,0.060000000000000005,600.0,0.25,1.0,1.0,240.0,0.0,0.5
47,32eb6971e77a6941d099be41e62d5574c8309dea,success,20.01,1.06,23.52,14,865.01,0,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/bayesian_optuna/trial_00047_32eb6971e7,,2.0,0.45,0.06,0.42,0.1,8.0,0.16,0.18,0.18,0.12,12.0,7.0,0.25,3.25,12.0,1.0,2.0,250.0,81.0,9.0,2.4,21.0,0.0,0.0,1.0,0.0,1.0,1.0,3.5,7.0,5.0,0.55,0.18,600.0,0.25,1.0,1.9,240.0,0.0,1.2
48,83bbcbc3e72c1f749205bd8150cd4ba12e49d8e5,success,20.35,1.12,23.5,20,860.01,0,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/bayesian_optuna/trial_00048_83bbcbc3e7,,2.0,0.45,0.06,0.42,0.1,8.0,0.16,0.18,0.18,0.12,12.0,7.0,0.6000000000000001,5.0,15.0,0.25,3.25,250.0,81.0,13.0,1.0,15.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,7.0,5.0,0.8500000000000001,0.060000000000000005,600.0,0.25,1.0,1.0,240.0,0.0,0.5
49,0dab52b0fa5dfda26fc063e4b2e172cc2f545079,success,21.17,1.82,26.14,36,845.01,0,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/bayesian_optuna/trial_00049_0dab52b0fa,,2.0,0.45,0.06,0.42,0.1,8.0,0.16,0.18,0.18,0.12,12.0,7.0,0.05,4.5,9.0,2.0,4.0,250.0,81.0,5.0,4.0,28.0,0.0,0.0,1.0,0.0,1.0,1.0,2.25,7.0,5.0,0.15,0.27,600.0,0.25,1.0,2.8,240.0,0.0,2.0
50,19bcfd11360d77cec25984fc3dc5d63bc531e2f2,success,21.12,1.73,25.43,38,830.01,0,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/bayesian_optuna/trial_00050_19bcfd1136,,2.0,0.45,0.06,0.42,0.1,8.0,0.16,0.18,0.18,0.12,12.0,7.0,0.5,1.75,14.0,2.5,1.25,250.0,81.0,13.0,3.6,10.0,0.0,0.0,1.0,0.0,1.0,1.0,4.5,7.0,5.0,1.2,0.41,600.0,0.25,1.0,3.8,240.0,0.0,2.4
51,92190b50e7b218c760d112084df158e1de54c7fd,success,20.15,1.07,23.36,17,870.01,0,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/bayesian_optuna/trial_00051_92190b50e7,,2.0,0.45,0.06,0.42,0.1,8.0,0.16,0.18,0.18,0.12,12.0,7.0,0.75,4.5,10.0,1.5,2.75,250.0,81.0,6.0,1.4,26.0,0.0,0.0,1.0,0.0,1.0,1.0,2.25,7.0,5.0,0.25,0.29,600.0,0.25,1.0,2.6,240.0,0.0,1.8000000000000003
52,88cd2154f13b18de28f03ea9264b067857ba7c51,success,21.42,1.83,25.47,45,870.01,0,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/bayesian_optuna/trial_00052_88cd2154f1,,2.0,0.45,0.06,0.42,0.1,8.0,0.16,0.18,0.18,0.12,12.0,7.0,0.4,2.0,10.0,0.5,1.25,250.0,81.0,12.0,4.800000000000001,14.0,0.0,0.0,1.0,0.0,1.0,1.0,4.75,7.0,5.0,0.8500000000000001,0.08,600.0,0.25,1.0,1.1,240.0,0.0,0.7000000000000001
53,95fbff14405b01f78bc7aca08cb241c5fc3ade91,success,20.73,1.49,25.32,26,870.01,0,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/bayesian_optuna/trial_00053_95fbff1440,,2.0,0.45,0.06,0.42,0.1,8.0,0.16,0.18,0.18,0.12,12.0,7.0,0.05,2.25,14.0,1.5,2.75,250.0,81.0,6.5,3.2,26.0,0.0,0.0,1.0,0.0,1.0,1.0,2.5,7.0,5.0,0.30000000000000004,0.28,600.0,0.25,1.0,2.7,240.0,0.0,1.7000000000000002
54,031cfa5f9efd66d81a50f16024d609d9b47c7035,success,20.28,1.1,23.32,17,970.02,0,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/bayesian_optuna/trial_00054_031cfa5f9e,,2.0,0.45,0.06,0.42,0.1,8.0,0.16,0.18,0.18,0.12,12.0,7.0,0.45,4.25,10.0,0.5,2.75,250.0,81.0,11.5,3.4000000000000004,16.0,0.0,0.0,1.0,0.0,1.0,1.0,4.25,7.0,5.0,0.8,0.1,600.0,0.25,1.0,1.2000000000000002,240.0,0.0,0.7000000000000001
