Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,264,"1,400","1,399",222,333,"2,382","7,071",239,"5,568","2,049","1,217","1,871","1,733","4,626","2,380","1,710",747,"1,125","1,327"
Cartagena,184,-,540,"1,033",109,140,531,123,97,429,"2,691",794,241,"1,475",860,724,467,"1,086",134,164
Colombo,"1,339",523,-,"1,849",618,795,"5,552",882,668,668,"1,601","1,615","1,040","2,680","3,536","3,512","3,007","1,550",328,"1,035"
Hamburg,660,908,"1,933",-,192,264,"2,951",449,198,580,"2,478","1,599",597,"2,867","2,270","2,259","1,000","2,538",279,597
Ho Chi Minh City,238,121,736,406,-,671,"1,124",171,536,561,346,322,258,616,"1,210","1,174","1,852",312,132,242
Jakarta,343,177,"1,052",517,443,-,"1,540",219,466,769,504,654,291,818,"1,617","1,591","1,465",374,186,304
Jebel Ali,"1,196",347,"5,245","2,002",539,740,-,815,528,"1,124","1,048","1,701",833,"3,043","2,131","2,199","2,485","2,530",257,859
Kaohsiung,"2,474",154,456,634,165,218,654,-,169,"3,581",711,463,901,697,"1,711",784,594,339,811,394
Laem Chabang,252,129,733,408,226,751,"1,197",172,-,632,362,456,245,571,"1,211","1,192","1,855",299,167,234
Los Angeles,"2,755",595,796,542,238,304,"1,111","1,257",231,-,"2,271",506,"2,151",830,"4,370","2,444",886,353,862,"1,202"
New Jersey,693,"3,503","1,592","2,520",164,193,"1,119",551,142,"2,071",-,"1,474",643,"3,017","2,339","2,049",727,"1,097",249,576
Piraeus,597,760,"1,585","1,024",179,213,"2,286",380,154,454,"1,479",-,515,"2,320","1,886","1,680",855,"2,209",210,481
Qingdao,"1,151",243,"1,011",823,203,308,"1,438","1,085",193,"5,107","1,225",892,-,979,"2,660",913,"1,195",569,456,45
Rotterdam,"1,000","1,395","2,938","1,730",304,435,"4,377",710,333,853,"3,903","1,594",955,-,"3,160","3,150","1,428","3,999",368,837
Shanghai,"2,803",713,"2,588","2,988",759,951,"3,242","1,919",757,"5,893","3,482","2,261","2,522","3,508",-,"2,275","3,620","1,596","1,722",976
Shenzhen,"3,247",631,"2,912","3,220",814,"1,091","4,629","2,133",859,"2,901","3,729","2,581",767,"4,225","1,859",-,"3,912","1,421",648,260
Singapore,"1,489",519,"2,912","1,685",902,"2,124","4,670",993,946,"2,775","1,493","1,444","1,346","2,420","4,863","4,917",-,"1,287",379,"1,374"
Tanger Med,527,945,"1,654","1,488",213,307,"2,476",313,220,364,"1,098","1,214",476,"2,048","1,682","1,547","1,025",-,210,420
Tianjin,891,184,778,739,138,212,"1,314",560,155,"1,987",900,610,990,"1,099","2,134",635,"1,081",405,-,42
Xiamen,"1,896",248,"1,296","1,285",231,293,"2,131","1,225",253,"1,559","1,575","1,009",444,"1,585","1,199","4,369","1,608",606,42,-
