PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,18.75
2,6,10,18.82
3,11,15,18.79
4,16,20,18.69
5,21,25,18.65
6,26,30,18.71
7,31,35,18.70
8,36,40,18.75
9,41,45,18.70
10,46,50,18.49
11,51,55,18.53
12,56,60,18.55
13,61,65,18.76
14,66,70,19.16
15,71,75,19.23
16,76,80,19.17
17,81,85,18.92
18,86,90,19.52
19,91,95,19.24
20,96,100,19.45
21,101,105,20.10
22,106,110,20.54
23,111,115,20.05
24,116,120,20.59
25,121,125,20.35
26,126,130,19.42
27,131,135,20.26
28,136,140,20.55
29,141,145,20.90
30,146,150,21.31
31,151,155,20.55
32,156,160,20.77
33,161,165,21.39
34,166,170,22.20
35,171,175,22.65
36,176,180,23.49
37,181,185,21.05
38,186,190,21.14
39,191,195,20.77
40,196,200,21.22
41,201,205,21.43
42,206,210,21.63
43,211,215,20.82
44,216,220,20.16
45,221,225,19.37
46,226,230,19.44
47,231,235,19.88
48,236,240,20.59
49,241,245,21.38
50,246,250,20.18
51,251,255,19.79
52,256,260,18.65
53,261,265,19.02
54,266,270,18.85
55,271,275,19.71
56,276,280,20.43
57,281,285,20.55
58,286,290,19.80
59,291,295,19.69
60,296,300,20.39
61,301,305,21.24
62,306,310,21.73
63,311,315,21.86
64,316,320,20.36
65,321,325,19.71
66,326,330,19.62
67,331,335,19.58
68,336,340,19.77
69,341,345,20.19
70,346,350,19.92
71,351,355,19.26
72,356,360,19.98
,,OverallMean,20.03
,,PeriodStdDev,1.09
