Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,36,60,158,11,14,130,83,12,485,210,120,8,201,33,39,57,78,5,31
Cartagena,32,-,61,39,13,18,55,20,13,94,33,37,41,54,112,99,57,32,24,25
Colombo,63,53,-,138,14,17,66,40,17,87,100,93,51,199,81,96,30,102,20,43
Hamburg,88,40,168,-,22,29,224,57,22,123,70,28,82,8,249,255,99,24,40,78
Ho Chi Minh City,13,16,28,43,-,8,54,9,2,75,32,27,15,65,38,41,15,29,9,12
Jakarta,17,22,37,51,4,-,71,12,5,97,46,53,16,81,48,53,6,33,12,15
Jebel Ali,67,41,63,129,18,24,-,47,19,157,90,80,50,192,72,84,54,139,18,45
Kaohsiung,16,28,30,86,12,14,52,-,12,263,88,56,19,97,40,18,34,44,9,10
Laem Chabang,14,17,25,41,4,7,56,9,-,89,33,38,14,58,35,39,10,28,11,11
Los Angeles,279,132,103,111,32,39,158,141,32,-,432,95,219,166,432,280,110,68,100,145
New Jersey,96,47,143,69,18,21,104,73,16,459,-,53,93,77,251,233,72,21,38,75
Piraeus,69,49,111,18,17,19,134,44,14,87,75,-,62,37,175,162,69,20,26,54
Qingdao,26,34,36,91,8,11,66,9,8,427,127,84,-,110,8,9,31,58,12,0
Rotterdam,132,57,248,5,33,46,323,92,37,182,102,25,131,-,351,350,137,29,53,109
Shanghai,13,89,61,289,21,24,112,12,23,467,297,185,20,342,-,14,54,141,35,4
Shenzhen,40,76,54,297,18,22,136,9,22,306,298,196,19,392,49,-,38,119,10,8
Singapore,57,58,28,140,4,9,98,37,7,319,105,97,56,200,68,91,-,96,21,46
Tanger Med,66,32,131,14,22,31,163,38,22,74,21,11,61,15,170,163,90,-,28,52
Tianjin,21,27,29,83,6,8,63,17,7,201,95,57,2,122,11,7,31,42,-,0
Xiamen,26,34,38,136,8,9,86,8,9,166,151,89,11,167,32,12,33,59,1,-
