Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,36,60,157,13,19,131,100,19,491,210,120,8,200,34,42,70,77,5,52
Cartagena,45,-,62,40,14,18,56,21,14,96,33,38,58,55,113,100,58,32,41,37
Colombo,96,53,-,137,14,17,65,46,17,91,101,93,89,198,83,98,30,101,68,70
Hamburg,106,40,168,-,22,30,225,60,22,127,70,28,99,8,249,257,99,23,88,94
Ho Chi Minh City,27,16,29,43,-,8,56,10,2,77,32,27,21,64,39,42,15,28,28,24
Jakarta,39,22,36,51,4,-,69,13,5,104,46,53,22,81,49,55,6,33,40,32
Jebel Ali,100,42,64,128,18,25,-,52,19,161,91,80,78,191,73,85,53,138,61,64
Kaohsiung,16,26,30,85,12,14,50,-,13,262,88,55,18,95,38,17,33,43,8,9
Laem Chabang,26,17,26,41,4,7,57,10,-,92,33,38,23,58,36,41,10,28,34,25
Los Angeles,279,133,105,113,32,41,162,142,33,-,435,97,219,170,431,287,112,70,118,164
New Jersey,123,46,144,69,18,21,105,76,16,461,-,54,99,78,253,234,72,21,69,99
Piraeus,82,48,111,18,17,19,135,46,15,89,74,-,80,36,176,164,69,19,54,68
Qingdao,30,35,37,92,8,12,70,13,9,432,129,85,-,111,8,9,34,59,21,0
Rotterdam,159,57,249,5,33,46,324,97,37,190,102,25,151,-,354,352,138,29,115,137
Shanghai,13,89,61,287,21,25,112,12,23,473,298,185,20,340,-,14,53,140,56,4
Shenzhen,119,75,54,296,18,23,136,9,22,303,298,195,32,390,43,-,37,119,26,15
Singapore,92,59,28,139,4,9,97,43,7,334,106,97,53,199,69,92,-,96,33,96
Tanger Med,86,32,131,13,22,32,164,40,22,76,22,11,68,15,171,164,91,-,63,64
Tianjin,24,27,31,84,6,9,66,17,7,202,96,58,2,123,11,7,32,42,-,0
Xiamen,28,34,41,137,9,10,91,8,10,164,153,91,10,168,31,12,36,60,1,-
