Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,253,"1,264","1,395",196,290,"2,248","7,042",221,"5,533","2,010","1,159","1,866","1,684","4,622","2,274","1,655",716,"1,088","1,266"
Cartagena,184,-,547,"1,038",104,143,534,117,93,430,"2,741",802,239,"1,492",802,666,484,"1,095",124,158
Colombo,"1,285",524,-,"1,836",614,784,"5,493",896,660,645,"1,634","1,594",983,"2,715","3,550","3,487","2,956","1,526",308,987
Hamburg,619,915,"1,940",-,192,264,"2,943",452,198,567,"2,374","1,612",555,"2,781","2,271","2,232","1,008","2,468",263,571
Ho Chi Minh City,198,120,733,409,-,669,"1,121",172,535,549,354,319,219,627,"1,204","1,140","1,813",303,105,232
Jakarta,273,177,"1,033",523,443,-,"1,516",219,465,750,524,653,242,854,"1,558","1,547","1,486",384,149,285
Jebel Ali,"1,143",345,"5,412","1,998",529,733,-,832,516,"1,109","1,022","1,687",794,"3,100","2,147","2,178","2,450","2,513",237,813
Kaohsiung,"2,477",154,426,636,151,199,625,-,159,"3,536",719,450,881,713,"1,686",761,587,336,810,401
Laem Chabang,212,129,733,409,226,751,"1,194",178,-,623,372,450,217,582,"1,167","1,167","1,809",294,134,229
Los Angeles,"2,760",579,781,527,235,312,"1,040","1,249",226,-,"2,257",506,"2,139",827,"4,428","2,421",889,352,814,"1,150"
New Jersey,672,"3,542","1,619","2,443",154,192,"1,072",524,135,"2,042",-,"1,447",625,"2,935","2,232","1,942",761,"1,047",236,554
Piraeus,559,767,"1,594","1,015",179,215,"2,282",382,154,449,"1,422",-,493,"2,362","1,888","1,666",862,"2,187",196,464
Qingdao,"1,128",243,"1,003",816,191,296,"1,358","1,083",178,"5,056","1,217",854,-,994,"2,580",884,"1,148",554,439,44
Rotterdam,949,"1,413","2,952","1,665",305,439,"4,374",717,333,835,"3,718","1,596",909,-,"3,181","3,099","1,436","3,862",343,846
Shanghai,"2,735",712,"2,543","2,957",739,941,"3,197","1,913",743,"5,816","3,578","2,241","2,517","3,577",-,"2,248","3,672","1,577","1,675",977
Shenzhen,"3,083",631,"2,870","3,178",761,"1,087","4,571","2,135",803,"2,904","3,846","2,559",717,"4,293","1,691",-,"3,820","1,410",623,249
Singapore,"1,251",518,"2,877","1,671",903,"2,111","4,629","1,008",946,"2,715","1,534","1,426","1,202","2,451","4,880","4,881",-,"1,278",313,"1,315"
Tanger Med,493,954,"1,663","1,445",213,312,"2,464",314,221,350,"1,059","1,226",469,"1,988","1,682","1,534","1,030",-,194,410
Tianjin,885,171,765,722,129,191,"1,242",559,152,"1,986",896,577,957,"1,103","2,030",604,"1,045",401,-,42
Xiamen,"1,794",238,"1,225","1,268",221,274,"2,003","1,227",234,"1,564","1,558",964,428,"1,600","1,106","4,165","1,546",618,36,-
