PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,18.80
2,6,10,18.96
3,11,15,18.98
4,16,20,19.05
5,21,25,18.41
6,26,30,18.56
7,31,35,19.10
8,36,40,19.07
9,41,45,18.59
10,46,50,18.38
11,51,55,18.55
12,56,60,18.86
13,61,65,18.64
14,66,70,18.86
15,71,75,19.62
16,76,80,19.12
17,81,85,19.23
18,86,90,19.67
19,91,95,20.30
20,96,100,21.01
21,101,105,21.49
22,106,110,22.34
23,111,115,22.92
24,116,120,23.39
25,121,125,22.72
26,126,130,23.01
27,131,135,22.76
28,136,140,23.63
29,141,145,24.25
30,146,150,24.81
31,151,155,24.23
32,156,160,25.22
33,161,165,25.84
34,166,170,26.70
35,171,175,27.61
36,176,180,28.41
37,181,185,26.36
38,186,190,26.99
39,191,195,27.10
40,196,200,27.61
41,201,205,26.65
42,206,210,27.20
43,211,215,26.63
44,216,220,26.82
45,221,225,26.82
46,226,230,26.94
47,231,235,27.50
48,236,240,27.87
49,241,245,28.83
50,246,250,29.25
51,251,255,27.75
52,256,260,28.24
53,261,265,27.22
54,266,270,27.72
55,271,275,28.37
56,276,280,28.84
57,281,285,29.07
58,286,290,29.12
59,291,295,29.40
60,296,300,30.25
61,301,305,30.82
62,306,310,31.52
63,311,315,31.79
64,316,320,31.20
65,321,325,31.03
66,326,330,30.40
67,331,335,31.01
68,336,340,31.30
69,341,345,31.80
70,346,350,32.28
71,351,355,32.22
72,356,360,32.23
,,OverallMean,25.24
,,PeriodStdDev,4.59
