Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,6,31,30,5,7,54,154,6,134,45,28,40,41,102,53,35,17,13,31
Cartagena,4,-,12,23,2,2,11,3,2,9,63,19,6,32,19,16,10,23,3,4
Colombo,16,8,-,21,13,16,112,11,14,9,22,19,12,31,42,42,63,19,4,12
Hamburg,7,23,22,-,2,3,33,5,2,7,55,18,7,33,26,25,12,30,3,7
Ho Chi Minh City,2,1,6,4,-,6,9,1,5,5,3,3,2,6,10,9,16,3,1,2
Jakarta,3,2,9,4,4,-,13,2,4,7,4,6,2,7,14,12,12,3,2,3
Jebel Ali,15,8,108,24,11,15,-,10,10,15,22,21,9,36,25,26,52,29,3,10
Kaohsiung,32,3,6,8,2,3,9,-,2,93,10,6,12,9,23,11,8,4,11,5
Laem Chabang,2,2,6,3,2,6,10,2,-,6,3,4,2,5,10,10,15,3,1,2
Los Angeles,62,17,16,13,5,7,26,29,6,-,51,12,46,18,100,53,20,8,21,28
New Jersey,9,91,20,54,2,2,24,7,2,30,-,32,8,66,28,26,9,25,3,7
Piraeus,7,12,19,11,2,2,26,5,2,6,17,-,6,27,22,19,11,26,2,5
Qingdao,14,4,12,11,3,3,18,27,2,129,16,11,-,12,32,11,15,8,5,1
Rotterdam,11,35,33,19,4,5,50,8,4,11,85,18,11,-,38,35,17,46,4,10
Shanghai,61,12,30,35,9,11,37,45,8,158,46,26,54,41,-,26,42,17,36,13
Shenzhen,33,10,35,37,9,13,53,28,10,38,49,30,8,50,19,-,46,16,6,3
Singapore,18,8,59,20,8,17,92,12,8,36,20,18,15,28,54,57,-,15,4,15
Tanger Med,6,23,19,17,2,4,28,4,2,4,24,14,6,24,20,18,11,-,2,5
Tianjin,11,3,10,9,2,3,16,6,2,24,11,8,12,13,26,8,13,5,-,0
Xiamen,24,4,16,16,3,3,25,15,3,19,19,13,5,20,14,56,19,7,1,-
