Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,254,"1,450","1,382",199,288,"2,328","6,899",220,"5,488","2,043","1,195","1,874","1,753","4,515","2,304","1,679",733,"1,134","1,293"
Cartagena,177,-,547,"1,038",108,139,534,117,97,430,"2,733",802,235,"1,492",848,715,484,"1,094",114,151
Colombo,"1,287",517,-,"1,839",618,790,"5,526",874,664,643,"1,621","1,594",976,"2,719","3,523","3,459","2,987","1,527",264,"1,009"
Hamburg,632,915,"1,911",-,189,262,"2,901",448,197,567,"2,474","1,594",569,"2,893","2,244","2,209","1,027","2,540",209,580
Ho Chi Minh City,225,116,736,411,-,661,"1,124",171,540,552,346,319,254,630,"1,210","1,148","1,817",305,105,234
Jakarta,319,171,"1,052",525,446,-,"1,543",216,466,753,511,654,281,857,"1,585","1,521","1,468",384,142,284
Jebel Ali,"1,151",346,"5,221","2,002",533,736,-,815,523,"1,106","1,076","1,691",795,"3,103","2,112","2,148","2,459","2,518",203,844
Kaohsiung,"2,484",147,469,639,148,197,625,-,155,"3,531",721,451,888,717,"1,651",765,579,336,812,402
Laem Chabang,251,127,734,410,226,739,"1,200",175,-,623,362,450,239,588,"1,212","1,168","1,817",294,134,219
Los Angeles,"2,782",560,781,522,235,312,"1,144","1,212",226,-,"2,234",498,"2,148",822,"4,370","2,421",889,348,845,"1,180"
New Jersey,696,"3,539","1,598","2,534",165,189,"1,129",538,140,"2,019",-,"1,492",668,"3,039","2,326","2,040",761,"1,102",206,561
Piraeus,571,775,"1,572","1,016",177,214,"2,256",378,153,449,"1,481",-,487,"2,376","1,864","1,644",876,"2,203",168,466
Qingdao,"1,166",237,"1,006",850,200,305,"1,447","1,056",188,"5,033","1,255",893,-,"1,039","2,609",903,"1,184",588,456,45
Rotterdam,962,"1,413","2,880","1,734",300,433,"4,289",701,332,835,"3,891","1,583",915,-,"3,135","3,071","1,459","3,978",269,812
Shanghai,"2,833",691,"2,569","2,961",739,939,"3,265","1,880",740,"5,782","3,528","2,241","2,527","3,578",-,"2,223","3,636","1,578","1,716",977
Shenzhen,"3,189",615,"2,889","3,183",799,"1,085","4,655","2,136",839,"2,845","3,796","2,561",738,"4,300","1,762",-,"3,918","1,410",634,260
Singapore,"1,489",505,"2,898","1,673",907,"2,089","4,651",993,949,"2,714","1,523","1,427","1,344","2,453","4,848","4,828",-,"1,280",365,"1,328"
Tanger Med,494,954,"1,650","1,500",210,306,"2,400",311,217,350,"1,092","1,214",461,"2,096","1,658","1,518","1,043",-,160,407
Tianjin,910,179,769,754,135,204,"1,324",550,156,"1,948",916,608,967,"1,139","2,091",619,"1,066",414,-,42
Xiamen,"1,907",238,"1,275","1,319",227,287,"2,130","1,232",248,"1,530","1,619","1,012",439,"1,659","1,139","4,388","1,572",622,42,-
