Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,35,60,156,18,23,133,106,21,501,206,119,9,198,37,119,87,77,5,63
Cartagena,47,-,63,40,14,18,59,22,14,101,33,42,59,55,115,101,59,32,43,37
Colombo,106,52,-,136,14,17,65,48,17,93,100,92,97,197,82,97,30,100,60,70
Hamburg,112,40,169,-,22,29,226,61,22,128,70,28,104,8,249,257,99,23,85,94
Ho Chi Minh City,25,16,28,42,-,8,55,11,2,78,32,27,23,64,42,43,15,28,27,27
Jakarta,32,22,35,52,4,-,69,13,5,106,45,54,23,82,51,55,6,33,41,32
Jebel Ali,108,42,64,128,18,25,-,52,19,165,88,79,82,190,72,84,53,137,54,64
Kaohsiung,16,27,34,89,17,17,56,-,17,264,90,58,31,100,62,37,44,46,9,18
Laem Chabang,21,17,25,40,4,7,57,11,-,90,33,37,24,57,38,42,10,27,33,30
Los Angeles,279,133,105,112,32,41,161,141,33,-,435,96,220,168,429,285,112,69,117,169
New Jersey,120,47,145,69,18,21,111,77,16,473,-,61,104,78,254,236,73,21,73,100
Piraeus,87,49,112,18,17,19,135,46,14,89,75,-,85,37,176,163,69,20,52,70
Qingdao,37,34,38,91,8,12,69,14,8,430,124,84,-,111,8,18,33,59,18,0
Rotterdam,166,57,249,5,33,46,326,99,37,193,101,25,161,-,353,351,138,28,113,139
Shanghai,15,89,61,287,21,26,112,13,23,467,297,184,21,340,-,14,54,140,50,4
Shenzhen,96,74,54,295,19,24,137,9,22,304,298,194,40,388,67,-,38,118,26,15
Singapore,60,58,28,139,4,9,97,44,7,350,105,96,58,198,68,91,-,96,31,100
Tanger Med,93,32,132,14,22,31,165,41,22,77,21,11,74,15,171,164,91,-,61,66
Tianjin,31,26,30,84,6,9,65,20,7,221,93,57,2,123,11,12,33,42,-,0
Xiamen,28,33,42,137,8,10,92,8,10,167,148,91,16,169,47,12,37,60,1,-
