Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,35,58,155,13,18,128,100,19,487,207,118,8,198,34,39,67,77,5,47
Cartagena,45,-,61,39,14,18,55,21,13,95,33,38,58,54,112,99,57,32,41,37
Colombo,94,53,-,137,14,17,65,45,18,88,100,93,88,198,83,97,30,101,68,71
Hamburg,105,40,168,-,22,29,225,60,22,125,69,29,98,8,250,257,99,24,88,94
Ho Chi Minh City,27,16,28,43,-,8,54,9,2,75,32,27,20,65,39,42,15,29,28,24
Jakarta,39,22,35,50,4,-,68,12,5,100,45,53,22,80,49,55,6,33,40,32
Jebel Ali,99,42,64,128,18,25,-,50,20,157,90,80,76,191,73,85,54,138,61,65
Kaohsiung,16,26,30,86,12,14,51,-,12,265,87,55,17,96,36,17,32,43,9,10
Laem Chabang,26,17,25,41,4,7,56,10,-,89,32,38,23,58,36,40,10,28,34,25
Los Angeles,279,135,105,113,32,41,161,141,33,-,432,97,219,169,432,293,114,69,119,163
New Jersey,123,47,144,69,18,21,105,76,16,456,-,54,99,77,252,234,72,21,68,99
Piraeus,81,49,111,18,17,19,134,45,14,87,74,-,79,37,176,163,69,20,54,69
Qingdao,28,34,36,91,8,12,68,13,8,428,128,85,-,110,8,10,33,58,21,0
Rotterdam,157,58,249,5,33,46,324,96,37,187,101,25,150,-,355,351,138,29,115,138
Shanghai,13,88,60,286,21,24,110,12,23,470,296,183,20,339,-,13,52,139,56,4
Shenzhen,120,74,53,294,18,22,134,9,21,303,296,193,32,388,43,-,37,118,26,14
Singapore,90,58,28,139,4,9,97,41,7,323,105,96,51,198,69,92,-,96,32,99
Tanger Med,86,32,131,14,22,31,163,40,22,75,21,11,67,15,171,164,91,-,62,65
Tianjin,23,27,30,83,6,8,64,18,7,204,95,57,2,123,11,7,31,42,-,0
Xiamen,28,34,40,136,8,10,88,8,9,164,150,90,11,167,32,12,35,60,1,-
