Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,5,25,24,4,6,43,131,5,113,36,22,33,32,86,32,29,14,14,26
Cartagena,5,-,12,22,2,2,12,3,2,9,62,18,6,32,19,16,10,23,3,4
Colombo,15,8,-,21,13,16,112,10,14,9,21,19,13,31,42,41,62,18,4,12
Hamburg,8,23,22,-,2,3,34,5,2,8,55,18,7,32,25,26,12,29,3,7
Ho Chi Minh City,2,1,6,3,-,5,9,1,4,5,3,3,2,6,11,9,16,3,1,2
Jakarta,3,2,9,4,3,-,12,2,4,7,4,6,3,7,14,12,12,3,1,3
Jebel Ali,14,8,109,24,11,15,-,9,11,15,22,20,10,36,24,26,51,29,3,10
Kaohsiung,33,3,6,8,2,3,9,-,2,76,9,6,12,9,22,11,8,4,11,5
Laem Chabang,2,2,6,3,2,6,10,2,-,6,3,4,2,5,10,10,15,2,1,2
Los Angeles,48,14,12,10,4,6,19,23,4,-,41,9,37,15,82,45,16,6,16,23
New Jersey,9,89,19,54,2,2,24,7,2,29,-,31,8,66,28,25,9,24,3,7
Piraeus,7,12,18,12,2,3,26,5,2,5,17,-,6,27,22,20,10,26,2,5
Qingdao,14,4,12,11,3,3,18,22,2,103,15,11,-,12,32,11,15,8,5,1
Rotterdam,11,35,33,19,4,5,52,8,3,12,83,18,11,-,38,34,16,46,4,10
Shanghai,51,12,31,36,9,10,39,37,9,122,46,27,44,41,-,28,43,18,24,13
Shenzhen,33,11,35,37,9,13,54,27,10,38,48,32,8,52,19,-,47,17,7,3
Singapore,17,8,59,19,8,17,91,12,8,37,19,17,15,28,57,57,-,16,4,16
Tanger Med,6,23,20,17,3,3,28,3,3,4,24,15,5,24,19,18,12,-,2,5
Tianjin,11,3,10,10,2,3,16,6,2,24,11,8,12,13,26,8,13,5,-,0
Xiamen,24,4,16,16,3,3,25,15,3,19,18,13,5,20,15,56,19,8,1,-
