Port,Origin Waiting TEU,Transshipment Waiting TEU,Total Waiting TEU,Vessels Waiting
Busan,679,233,912,0.02
Cartagena,260,0,260,0.01
Colombo,480,18,498,0.01
Hamburg,320,0,320,0.00
Ho Chi Minh City,93,0,93,0.04
Jakarta,110,0,110,0.05
Jebel Ali,445,0,445,0.00
Kaohsiung,239,87,326,0.15
Laem Chabang,93,0,93,0.02
Los Angeles,432,0,432,0.00
New Jersey,439,156,595,0.00
Piraeus,227,0,227,0.00
Qingdao,301,125,426,0.02
Rotterdam,444,0,444,0.00
Shanghai,638,"1,508","2,147",0.00
Shenzhen,499,152,651,0.00
Singapore,505,"1,586","2,091",0.01
Tanger Med,233,79,313,0.01
Tianjin,184,0,184,0.01
Xiamen,281,0,281,0.02
TOTAL,"6,905","3,945","10,850",0.38
