PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,18.75
2,6,10,18.82
3,11,15,18.79
4,16,20,18.69
5,21,25,18.65
6,26,30,18.71
7,31,35,18.70
8,36,40,18.75
9,41,45,18.73
10,46,50,18.51
11,51,55,18.50
12,56,60,18.64
13,61,65,18.83
14,66,70,19.28
15,71,75,19.39
16,76,80,19.32
17,81,85,19.26
18,86,90,19.94
19,91,95,20.10
20,96,100,20.44
21,101,105,21.42
22,106,110,22.03
23,111,115,22.41
24,116,120,22.73
25,121,125,23.37
26,126,130,21.74
27,131,135,22.62
28,136,140,22.98
29,141,145,23.27
30,146,150,23.86
31,151,155,23.63
32,156,160,23.94
33,161,165,24.99
34,166,170,25.89
35,171,175,26.31
36,176,180,27.25
37,181,185,25.57
38,186,190,25.41
39,191,195,25.74
40,196,200,25.90
41,201,205,26.19
42,206,210,25.63
43,211,215,26.00
44,216,220,25.39
45,221,225,25.76
46,226,230,26.05
47,231,235,26.61
48,236,240,27.18
49,241,245,28.32
50,246,250,26.89
51,251,255,26.78
52,256,260,27.01
53,261,265,26.96
54,266,270,27.13
55,271,275,27.89
56,276,280,28.57
57,281,285,28.74
58,286,290,28.58
59,291,295,28.40
60,296,300,29.51
61,301,305,30.17
62,306,310,30.91
63,311,315,31.50
64,316,320,30.73
65,321,325,29.40
66,326,330,29.74
67,331,335,30.39
68,336,340,30.37
69,341,345,31.09
70,346,350,31.58
71,351,355,31.67
72,356,360,31.71
,,OverallMean,24.65
,,PeriodStdDev,4.29
