Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,264,"1,407","1,402",220,299,"2,393","7,067",233,"5,589","2,054","1,192","1,876","1,738","4,626","2,385","1,562",730,"1,130","1,319"
Cartagena,179,-,547,"1,039",108,138,534,123,97,431,"2,720",791,235,"1,490",847,710,472,"1,090",114,150
Colombo,"1,250",523,-,"1,855",618,795,"5,549",861,667,669,"1,593","1,562",948,"2,683","3,474","3,406","3,001","1,505",244,992
Hamburg,619,913,"1,922",-,187,270,"2,917",443,195,581,"2,475","1,558",551,"2,891","2,181","2,205","1,039","2,558",200,572
Ho Chi Minh City,214,122,736,406,-,671,"1,124",169,536,561,346,313,246,616,"1,192","1,155","1,852",298,98,226
Jakarta,292,177,"1,052",517,443,-,"1,540",207,466,776,497,644,270,819,"1,551","1,538","1,465",368,138,276
Jebel Ali,"1,120",346,"5,239","2,009",539,740,-,796,527,"1,124","1,040","1,670",780,"3,056","2,073","2,136","2,482","2,476",187,829
Kaohsiung,"2,483",154,458,634,165,210,657,-,170,"3,596",714,438,902,697,"1,687",786,548,332,813,398
Laem Chabang,232,129,733,408,226,751,"1,197",168,-,632,362,443,231,571,"1,196","1,176","1,855",291,125,217
Los Angeles,"2,756",591,753,543,223,277,"1,025","1,255",210,-,"2,278",508,"2,151",832,"4,378","2,241",814,353,839,"1,204"
New Jersey,679,"3,529","1,618","2,533",162,187,"1,129",547,139,"2,065",-,"1,462",661,"3,038","2,318","2,026",733,"1,101",210,545
Piraeus,557,758,"1,583","1,027",174,213,"2,265",370,150,455,"1,459",-,480,"2,335","1,836","1,630",881,"2,148",159,460
Qingdao,"1,154",244,992,824,201,300,"1,403","1,085",189,"5,122","1,229",877,-,987,"2,609",921,"1,157",556,444,45
Rotterdam,941,"1,412","2,923","1,747",290,440,"4,313",681,326,854,"3,886","1,564",897,-,"3,065","3,091","1,463","4,014",254,790
Shanghai,"2,810",711,"2,568","2,989",750,930,"3,213","1,919",749,"5,927","3,466","2,219","2,527","3,519",-,"2,218","3,525","1,548","1,707",977
Shenzhen,"3,155",630,"2,886","3,227",806,"1,074","4,584","2,136",845,"2,914","3,697","2,529",749,"4,233","1,804",-,"3,777","1,398",634,251
Singapore,"1,421",518,"2,910","1,690",902,"2,124","4,669",970,947,"2,778","1,484","1,409","1,315","2,429","4,761","4,823",-,"1,263",349,"1,291"
Tanger Med,481,954,"1,653","1,502",204,311,"2,425",309,211,364,"1,092","1,188",455,"2,058","1,633","1,507","1,051",-,154,399
Tianjin,893,184,753,741,136,202,"1,302",560,153,"1,987",901,589,993,"1,101","2,091",631,"1,041",398,-,42
Xiamen,"1,907",249,"1,275","1,289",229,279,"2,083","1,230",249,"1,567","1,580",988,445,"1,586","1,171","4,388","1,550",595,42,-
