PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,18.75
2,6,10,18.82
3,11,15,18.79
4,16,20,18.69
5,21,25,18.65
6,26,30,18.71
7,31,35,18.70
8,36,40,18.75
9,41,45,18.73
10,46,50,18.51
11,51,55,18.50
12,56,60,18.64
13,61,65,18.83
14,66,70,19.27
15,71,75,19.37
16,76,80,19.26
17,81,85,18.96
18,86,90,19.42
19,91,95,19.17
20,96,100,19.30
21,101,105,20.17
22,106,110,20.67
23,111,115,20.95
24,116,120,21.07
25,121,125,20.34
26,126,130,20.01
27,131,135,20.30
28,136,140,20.67
29,141,145,20.98
30,146,150,21.72
31,151,155,20.74
32,156,160,20.83
33,161,165,21.38
34,166,170,22.20
35,171,175,22.35
36,176,180,23.41
37,181,185,21.22
38,186,190,21.47
39,191,195,20.75
40,196,200,21.04
41,201,205,21.17
42,206,210,20.58
43,211,215,20.86
44,216,220,20.03
45,221,225,19.74
46,226,230,19.23
47,231,235,19.89
48,236,240,20.63
49,241,245,21.45
50,246,250,19.92
51,251,255,19.75
52,256,260,18.94
53,261,265,19.45
54,266,270,19.10
55,271,275,19.61
56,276,280,20.38
57,281,285,19.95
58,286,290,19.78
59,291,295,19.37
60,296,300,20.26
61,301,305,20.18
62,306,310,21.06
63,311,315,21.50
64,316,320,20.88
65,321,325,19.23
66,326,330,19.67
67,331,335,20.36
68,336,340,20.06
69,341,345,20.50
70,346,350,20.61
71,351,355,19.88
72,356,360,20.32
,,OverallMean,20.06
,,PeriodStdDev,1.05
