Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,36,59,158,11,14,130,99,13,488,210,120,8,200,33,41,57,78,5,34
Cartagena,32,-,61,39,13,18,56,21,13,95,33,39,42,55,112,100,57,32,23,25
Colombo,59,53,-,138,14,17,65,44,17,89,100,94,48,199,83,97,30,102,19,42
Hamburg,87,40,168,-,22,30,225,60,22,125,70,29,81,8,249,257,99,24,40,78
Ho Chi Minh City,13,16,28,43,-,8,54,10,2,77,32,28,15,65,40,42,15,29,9,12
Jakarta,18,22,35,51,4,-,68,13,5,101,46,53,16,81,49,56,6,33,13,14
Jebel Ali,65,42,64,129,18,25,-,51,19,158,90,80,48,192,74,85,53,139,18,44
Kaohsiung,16,27,30,86,12,14,51,-,13,264,88,56,16,96,35,17,33,44,9,9
Laem Chabang,13,17,25,41,4,7,56,10,-,90,32,38,13,58,37,41,10,28,10,12
Los Angeles,279,134,105,114,32,40,162,142,33,-,439,97,220,171,433,287,112,70,103,142
New Jersey,95,47,144,69,18,21,106,75,16,453,-,56,93,77,253,234,72,21,38,76
Piraeus,68,49,111,18,17,19,134,46,14,88,75,-,61,37,176,163,69,20,25,53
Qingdao,26,34,37,92,9,12,70,12,9,431,128,86,-,111,8,9,34,59,11,0
Rotterdam,129,58,249,5,33,46,324,97,36,188,102,25,129,-,354,351,138,29,51,109
Shanghai,13,90,61,288,22,24,111,12,24,472,297,184,20,341,-,13,53,140,37,4
Shenzhen,40,75,54,296,19,23,135,9,23,300,297,195,16,391,41,-,37,119,10,8
Singapore,53,59,28,140,4,9,97,41,7,325,105,97,52,199,70,92,-,96,20,44
Tanger Med,65,32,131,14,22,31,163,40,22,76,21,11,60,15,171,164,91,-,28,51
Tianjin,23,27,31,84,6,9,66,17,7,202,95,58,2,124,11,7,32,43,-,0
Xiamen,28,34,41,138,9,10,90,8,10,162,151,91,10,169,31,12,36,60,1,-
