Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,259,"1,406","1,419",223,302,"2,386","7,034",241,"5,572","2,051","1,217","1,863","1,761","4,604","2,348","1,573",736,"1,125","1,329"
Cartagena,184,-,546,"1,040",111,142,533,117,97,430,"2,720",789,245,"1,490",863,732,471,"1,090",135,164
Colombo,"1,309",521,-,"1,855",618,791,"5,530",865,666,639,"1,604","1,632","1,010","2,681","3,491","3,437","2,993","1,505",317,"1,035"
Hamburg,643,913,"1,935",-,187,272,"2,925",443,195,567,"2,474","1,557",577,"2,891","2,199","2,217","1,024","2,558",275,596
Ho Chi Minh City,232,116,736,406,-,671,"1,123",168,535,551,346,321,254,614,"1,187","1,155","1,851",297,127,242
Jakarta,333,172,"1,051",517,443,-,"1,540",216,466,752,504,663,286,818,"1,584","1,558","1,464",367,184,304
Jebel Ali,"1,174",346,"5,224","2,006",538,740,-,803,527,"1,104","1,081","1,722",825,"3,056","2,087","2,154","2,475","2,474",254,859
Kaohsiung,"2,474",148,457,648,165,210,654,-,169,"3,584",712,463,901,713,"1,711",784,548,336,810,392
Laem Chabang,248,127,733,407,226,751,"1,196",168,-,623,362,454,243,571,"1,196","1,173","1,855",291,162,234
Los Angeles,"2,733",554,796,549,239,304,"1,111","1,251",231,-,"2,285",510,"2,142",834,"4,362","2,449",887,353,862,"1,209"
New Jersey,693,"3,530","1,616","2,533",164,191,"1,126",523,141,"2,072",-,"1,461",641,"3,040","2,331","2,038",714,"1,102",249,574
Piraeus,577,761,"1,592","1,027",174,213,"2,276",372,150,449,"1,458",-,505,"2,331","1,841","1,635",870,"2,148",203,481
Qingdao,"1,151",234,"1,010",823,203,304,"1,438","1,078",193,"5,110","1,224",908,-,979,"2,657",913,"1,180",556,456,45
Rotterdam,978,"1,412","2,947","1,747",290,442,"4,356",687,326,835,"3,884","1,564",927,-,"3,077","3,097","1,450","4,016",355,833
Shanghai,"2,789",697,"2,586","2,989",756,934,"3,237","1,906",756,"5,896","3,489","2,284","2,514","3,519",-,"2,231","3,552","1,548","1,720",976
Shenzhen,"3,245",619,"2,907","3,224",809,"1,079","4,618","2,133",858,"2,901","3,730","2,611",767,"4,233","1,853",-,"3,820","1,396",648,256
Singapore,"1,473",510,"2,902","1,686",901,"2,118","4,662",972,945,"2,698","1,494","1,460","1,324","2,426","4,775","4,853",-,"1,262",371,"1,369"
Tanger Med,507,951,"1,657","1,502",206,311,"2,457",310,211,350,"1,092","1,188",465,"2,058","1,642","1,511","1,037",-,207,418
Tianjin,891,178,778,739,138,203,"1,314",560,155,"1,987",900,622,990,"1,098","2,134",635,"1,062",394,-,42
Xiamen,"1,896",243,"1,295","1,285",231,286,"2,130","1,224",253,"1,561","1,573","1,038",443,"1,585","1,196","4,368","1,572",594,42,-
