PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,18.80
2,6,10,18.96
3,11,15,18.98
4,16,20,19.05
5,21,25,18.41
6,26,30,18.56
7,31,35,19.10
8,36,40,19.07
9,41,45,18.59
10,46,50,18.38
11,51,55,18.55
12,56,60,18.86
13,61,65,18.64
14,66,70,18.86
15,71,75,19.62
16,76,80,19.09
17,81,85,19.07
18,86,90,19.21
19,91,95,19.35
20,96,100,19.88
21,101,105,20.19
22,106,110,20.88
23,111,115,21.40
24,116,120,21.86
25,121,125,20.82
26,126,130,20.88
27,131,135,20.36
28,136,140,21.10
29,141,145,21.51
30,146,150,22.52
31,151,155,21.26
32,156,160,22.04
33,161,165,22.42
34,166,170,23.05
35,171,175,23.72
36,176,180,24.64
37,181,185,22.32
38,186,190,22.97
39,191,195,22.46
40,196,200,22.11
41,201,205,21.49
42,206,210,22.03
43,211,215,21.45
44,216,220,21.06
45,221,225,20.48
46,226,230,20.21
47,231,235,20.80
48,236,240,20.99
49,241,245,22.03
50,246,250,22.32
51,251,255,20.28
52,256,260,20.09
53,261,265,19.04
54,266,270,19.38
55,271,275,20.43
56,276,280,20.41
57,281,285,20.13
58,286,290,19.84
59,291,295,20.43
60,296,300,21.05
61,301,305,21.34
62,306,310,22.27
63,311,315,22.03
64,316,320,20.54
65,321,325,21.34
66,326,330,20.53
67,331,335,20.27
68,336,340,20.33
69,341,345,21.05
70,346,350,21.43
71,351,355,20.23
72,356,360,20.24
,,OverallMean,20.60
,,PeriodStdDev,1.40
