PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,18.80
2,6,10,18.96
3,11,15,18.98
4,16,20,19.05
5,21,25,18.41
6,26,30,18.56
7,31,35,19.10
8,36,40,19.07
9,41,45,18.59
10,46,50,18.37
11,51,55,18.53
12,56,60,18.88
13,61,65,18.57
14,66,70,18.89
15,71,75,19.54
16,76,80,19.15
17,81,85,19.65
18,86,90,19.84
19,91,95,20.48
20,96,100,21.46
21,101,105,22.26
22,106,110,23.42
23,111,115,24.59
24,116,120,25.33
25,121,125,25.60
26,126,130,26.16
27,131,135,26.64
28,136,140,27.61
29,141,145,28.47
30,146,150,29.42
31,151,155,29.50
32,156,160,30.51
33,161,165,31.46
34,166,170,33.09
35,171,175,34.15
36,176,180,35.40
37,181,185,35.20
38,186,190,35.62
39,191,195,36.49
40,196,200,37.19
41,201,205,37.71
42,206,210,36.16
43,211,215,37.25
44,216,220,37.80
45,221,225,39.16
46,226,230,39.54
47,231,235,40.04
48,236,240,41.53
49,241,245,43.04
50,246,250,42.71
51,251,255,43.34
52,256,260,44.73
53,261,265,44.76
54,266,270,45.27
55,271,275,45.75
56,276,280,46.15
57,281,285,47.46
58,286,290,48.50
59,291,295,48.68
60,296,300,49.97
61,301,305,50.93
62,306,310,52.15
63,311,315,53.14
64,316,320,53.45
65,321,325,54.95
66,326,330,55.16
67,331,335,55.77
68,336,340,55.81
69,341,345,56.22
70,346,350,56.96
71,351,355,59.11
72,356,360,59.67
,,OverallMean,34.78
,,PeriodStdDev,13.31
