Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,14,89,30,16,15,132,156,15,123,87,62,38,103,97,129,84,34,44,81
Cartagena,4,-,12,22,2,2,11,3,2,8,61,18,6,31,18,16,10,22,3,4
Colombo,16,8,-,21,11,14,101,10,12,8,24,19,12,32,39,40,56,18,4,11
Hamburg,7,21,22,-,2,3,34,5,2,7,111,18,7,96,25,25,12,88,3,7
Ho Chi Minh City,2,1,6,3,-,6,9,1,5,5,3,3,2,6,10,9,16,3,1,2
Jakarta,3,2,9,4,4,-,12,2,3,7,4,5,2,7,13,12,12,3,1,3
Jebel Ali,14,6,100,24,10,13,-,9,9,13,19,20,9,37,23,24,48,28,3,10
Kaohsiung,29,2,6,7,2,3,8,-,2,85,8,5,11,8,20,9,7,4,9,5
Laem Chabang,2,1,6,3,2,6,10,2,-,6,3,4,2,5,10,10,14,3,1,2
Los Angeles,57,12,16,12,5,7,24,27,5,-,48,10,43,18,93,51,19,7,19,27
New Jersey,10,83,21,108,2,3,58,7,2,31,-,60,9,131,31,29,10,57,4,8
Piraeus,7,9,18,11,2,2,25,5,2,6,17,-,6,27,22,19,10,25,2,6
Qingdao,12,3,12,35,10,18,48,26,9,117,61,39,-,45,95,38,53,32,18,0
Rotterdam,11,32,34,54,4,5,49,8,4,11,175,18,11,-,39,36,17,145,4,10
Shanghai,133,12,29,33,8,11,34,45,8,146,52,25,51,38,-,25,39,17,75,12
Shenzhen,168,11,33,37,41,53,52,27,40,39,55,28,38,49,99,-,158,16,27,13
Singapore,217,9,52,20,8,17,83,11,8,32,22,17,99,27,231,55,-,15,45,78
Tanger Med,6,21,19,51,2,4,28,3,2,4,40,14,5,85,19,18,12,-,2,5
Tianjin,27,11,10,31,6,13,59,6,6,24,40,30,39,40,107,32,43,15,-,0
Xiamen,107,7,52,53,7,22,82,15,13,19,61,45,12,62,58,211,67,7,5,-
