Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,253,"1,372","1,397",196,324,"2,256","6,867",221,"5,550","2,022","1,162","1,820","1,695","4,497","2,259","1,648",719,"1,077","1,263"
Cartagena,165,-,547,"1,038",104,132,537,117,94,430,"2,739",802,218,"1,492",803,668,484,"1,094",106,151
Colombo,"1,174",524,-,"1,808",614,784,"5,496",859,660,644,"1,588","1,612",920,"2,681","3,535","3,470","2,956","1,545",249,981
Hamburg,580,913,"1,937",-,192,264,"2,931",438,198,567,"2,366","1,612",516,"2,743","2,268","2,224","1,038","2,474",199,585
Ho Chi Minh City,172,121,736,399,-,671,"1,123",169,539,551,342,319,210,617,"1,208","1,142","1,816",304,95,236
Jakarta,243,177,"1,033",510,443,-,"1,517",204,466,753,503,654,236,837,"1,561","1,552","1,467",384,127,285
Jebel Ali,"1,068",345,"5,414","1,980",529,733,-,786,517,"1,107",979,"1,699",731,"3,054","2,130","2,169","2,450","2,531",182,798
Kaohsiung,"2,469",158,466,632,151,210,622,-,158,"3,554",717,446,864,708,"1,637",759,583,335,803,399
Laem Chabang,194,129,733,401,226,753,"1,197",174,-,623,358,450,216,571,"1,168","1,168","1,815",294,119,229
Los Angeles,"2,696",574,780,527,218,311,"1,050","1,210",205,-,"2,272",506,"2,087",830,"4,254","2,418",887,353,809,"1,208"
New Jersey,632,"3,539","1,613","2,443",155,180,"1,073",527,136,"2,042",-,"1,447",615,"2,931","2,246","1,963",761,"1,046",196,557
Piraeus,523,765,"1,592","1,005",179,215,"2,280",367,153,449,"1,418",-,460,"2,336","1,884","1,661",878,"2,218",157,460
Qingdao,"1,132",247,991,790,187,287,"1,352","1,052",170,"5,076","1,154",850,-,964,"2,570",875,"1,144",552,427,46
Rotterdam,889,"1,413","2,946","1,645",304,436,"4,365",671,333,835,"3,715","1,596",844,-,"3,167","3,091","1,460","3,864",251,820
Shanghai,"2,638",712,"2,553","2,927",713,954,"3,187","1,870",722,"5,849","3,444","2,246","2,463","3,498",-,"2,240","3,661","1,586","1,617",986
Shenzhen,"3,060",631,"2,882","3,142",742,"1,045","4,541","2,121",771,"2,888","3,717","2,575",701,"4,228","1,650",-,"3,798","1,418",621,249
Singapore,"1,116",518,"2,878","1,650",905,"2,123","4,629",968,947,"2,713","1,494","1,441","1,189","2,425","4,643","4,857",-,"1,284",292,"1,329"
Tanger Med,440,954,"1,661","1,422",213,312,"2,456",305,220,350,"1,059","1,226",418,"1,970","1,680","1,532","1,050",-,152,412
Tianjin,866,174,763,710,127,199,"1,240",545,144,"1,984",856,576,951,"1,084","2,018",601,"1,040",401,-,42
Xiamen,"1,783",237,"1,221","1,233",218,265,"1,992","1,218",228,"1,555","1,521",960,415,"1,562","1,072","4,254","1,538",615,36,-
