Port,Origin Waiting TEU,Transshipment Waiting TEU,Total Waiting TEU,Vessels Waiting
Busan,"1,352",280,"1,631",0.02
Cartagena,253,0,253,0.01
Colombo,454,17,471,0.01
Hamburg,496,0,496,0.00
Ho Chi Minh City,93,0,93,0.04
Jakarta,109,0,109,0.05
Jebel Ali,417,1,417,0.00
Kaohsiung,231,93,324,0.13
Laem Chabang,93,0,93,0.02
Los Angeles,499,0,499,0.00
New Jersey,664,156,819,0.01
Piraeus,220,0,220,0.00
Qingdao,672,64,736,0.01
Rotterdam,667,0,667,0.01
Shanghai,792,"1,611","2,403",0.00
Shenzhen,982,177,"1,160",0.00
Singapore,"1,045","2,050","3,095",0.01
Tanger Med,339,153,492,0.00
Tianjin,541,0,541,0.01
Xiamen,907,0,907,0.02
TOTAL,"10,826","4,600","15,426",0.35
