PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,18.80
2,6,10,18.96
3,11,15,18.98
4,16,20,19.05
5,21,25,18.41
6,26,30,18.56
7,31,35,19.10
8,36,40,19.07
9,41,45,18.59
10,46,50,18.37
11,51,55,18.53
12,56,60,18.88
13,61,65,18.57
14,66,70,18.88
15,71,75,19.52
16,76,80,19.08
17,81,85,19.36
18,86,90,19.29
19,91,95,19.31
20,96,100,19.96
21,101,105,20.22
22,106,110,20.80
23,111,115,21.55
24,116,120,22.20
25,121,125,22.64
26,126,130,22.23
27,131,135,20.78
28,136,140,21.48
29,141,145,21.83
30,146,150,22.72
31,151,155,21.64
32,156,160,22.22
33,161,165,23.11
34,166,170,23.78
35,171,175,24.54
36,176,180,25.26
37,181,185,23.14
38,186,190,23.59
39,191,195,23.99
40,196,200,24.52
41,201,205,23.23
42,206,210,23.99
43,211,215,23.06
44,216,220,22.50
45,221,225,22.38
46,226,230,22.41
47,231,235,23.07
48,236,240,23.68
49,241,245,24.71
50,246,250,23.04
51,251,255,23.59
52,256,260,23.51
53,261,265,22.41
54,266,270,23.59
55,271,275,24.21
56,276,280,24.70
57,281,285,24.77
58,286,290,24.77
59,291,295,24.45
60,296,300,25.25
61,301,305,26.06
62,306,310,26.69
63,311,315,27.09
64,316,320,25.95
65,321,325,26.59
66,326,330,24.95
67,331,335,25.48
68,336,340,25.80
69,341,345,27.13
70,346,350,27.21
71,351,355,26.52
72,356,360,26.56
,,OverallMean,22.51
,,PeriodStdDev,2.69
