Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,36,63,158,11,15,135,96,13,517,212,120,9,201,37,55,59,78,5,26
Cartagena,34,-,63,39,14,18,57,21,14,103,33,40,43,54,115,102,59,32,24,26
Colombo,71,52,-,137,14,18,65,49,17,94,100,93,56,197,83,98,30,101,20,41
Hamburg,92,40,168,-,22,29,225,60,22,128,66,29,86,7,249,256,99,23,39,76
Ho Chi Minh City,14,16,26,44,-,8,52,11,2,79,33,28,16,65,40,42,15,29,9,12
Jakarta,20,22,33,51,4,-,65,13,5,107,46,53,18,82,49,54,6,33,13,14
Jebel Ali,74,41,64,128,18,26,-,53,19,169,121,80,55,191,73,85,53,138,18,43
Kaohsiung,18,27,32,87,13,14,53,-,13,309,89,56,26,96,54,35,34,44,9,17
Laem Chabang,16,17,23,41,4,7,54,11,-,91,33,38,16,59,36,41,10,28,11,11
Los Angeles,277,133,103,111,31,40,159,141,32,-,440,96,218,167,426,279,110,69,101,145
New Jersey,99,48,145,66,18,21,103,76,16,483,-,56,96,73,253,235,73,20,38,76
Piraeus,72,50,111,18,17,19,135,46,14,90,102,-,64,37,176,163,69,19,25,52
Qingdao,36,34,39,92,9,12,71,10,9,446,126,86,-,112,8,16,35,60,18,0
Rotterdam,137,58,248,4,33,46,324,97,36,192,97,25,136,-,353,351,138,28,51,107
Shanghai,15,89,61,288,21,24,112,14,23,484,297,184,21,341,-,14,54,140,34,4
Shenzhen,39,74,55,295,19,22,137,9,22,319,298,195,25,390,64,-,38,119,10,12
Singapore,64,58,28,139,4,9,97,46,7,358,105,96,61,198,69,92,-,96,20,42
Tanger Med,70,32,131,13,22,32,164,41,22,78,21,11,63,14,171,164,91,-,28,51
Tianjin,30,26,32,85,6,9,67,17,7,228,95,58,2,124,11,12,33,43,-,0
Xiamen,27,34,42,138,9,10,92,8,10,173,152,92,16,171,46,12,37,60,1,-
