PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,18.75
2,6,10,18.82
3,11,15,18.79
4,16,20,18.69
5,21,25,18.65
6,26,30,18.71
7,31,35,18.70
8,36,40,18.75
9,41,45,18.70
10,46,50,18.49
11,51,55,18.53
12,56,60,18.55
13,61,65,18.76
14,66,70,19.16
15,71,75,19.24
16,76,80,19.17
17,81,85,18.92
18,86,90,19.53
19,91,95,19.24
20,96,100,19.47
21,101,105,20.14
22,106,110,20.59
23,111,115,20.07
24,116,120,20.65
25,121,125,20.35
26,126,130,19.92
27,131,135,20.33
28,136,140,20.44
29,141,145,20.97
30,146,150,21.51
31,151,155,20.61
32,156,160,20.50
33,161,165,21.21
34,166,170,21.89
35,171,175,22.68
36,176,180,23.52
37,181,185,21.09
38,186,190,21.18
39,191,195,20.55
40,196,200,21.21
41,201,205,21.09
42,206,210,21.53
43,211,215,21.00
44,216,220,20.59
45,221,225,19.44
46,226,230,19.37
47,231,235,19.73
48,236,240,20.38
49,241,245,21.13
50,246,250,19.23
51,251,255,19.48
52,256,260,19.11
53,261,265,18.76
54,266,270,19.53
55,271,275,20.15
56,276,280,20.08
57,281,285,20.57
58,286,290,19.31
59,291,295,19.50
60,296,300,20.21
61,301,305,20.54
62,306,310,21.30
63,311,315,21.67
64,316,320,19.02
65,321,325,20.11
66,326,330,20.37
67,331,335,19.39
68,336,340,19.53
69,341,345,20.51
70,346,350,20.84
71,351,355,19.91
72,356,360,20.24
,,OverallMean,20.01
,,PeriodStdDev,1.06
