PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,18.80
2,6,10,18.96
3,11,15,18.98
4,16,20,19.05
5,21,25,18.41
6,26,30,18.56
7,31,35,19.10
8,36,40,19.07
9,41,45,18.59
10,46,50,18.35
11,51,55,18.49
12,56,60,18.84
13,61,65,18.53
14,66,70,18.79
15,71,75,19.42
16,76,80,19.03
17,81,85,19.30
18,86,90,19.29
19,91,95,19.54
20,96,100,20.52
21,101,105,21.19
22,106,110,22.23
23,111,115,23.28
24,116,120,24.25
25,121,125,24.84
26,126,130,25.18
27,131,135,25.31
28,136,140,26.05
29,141,145,26.71
30,146,150,27.64
31,151,155,27.36
32,156,160,28.22
33,161,165,29.27
34,166,170,30.52
35,171,175,31.63
36,176,180,32.73
37,181,185,32.75
38,186,190,32.75
39,191,195,33.22
40,196,200,33.83
41,201,205,34.63
42,206,210,34.44
43,211,215,35.40
44,216,220,34.58
45,221,225,35.63
46,226,230,35.85
47,231,235,36.94
48,236,240,37.69
49,241,245,39.03
50,246,250,39.53
51,251,255,39.21
52,256,260,39.88
53,261,265,39.93
54,266,270,40.81
55,271,275,40.84
56,276,280,41.92
57,281,285,42.36
58,286,290,42.99
59,291,295,43.63
60,296,300,45.19
61,301,305,45.98
62,306,310,47.29
63,311,315,48.10
64,316,320,48.58
65,321,325,48.96
66,326,330,48.57
67,331,335,49.31
68,336,340,49.38
69,341,345,50.25
70,346,350,50.16
71,351,355,51.32
72,356,360,52.73
,,OverallMean,32.08
,,PeriodStdDev,11.14
