Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,34,57,157,10,15,126,92,12,515,200,115,9,190,36,53,55,75,5,25
Cartagena,33,-,63,39,14,18,58,21,14,98,33,41,48,54,115,101,58,32,31,31
Colombo,94,52,-,136,14,18,64,48,17,93,99,92,82,197,82,97,31,101,29,82
Hamburg,109,40,168,-,22,29,225,59,22,127,67,29,101,7,249,257,99,23,48,97
Ho Chi Minh City,36,16,26,42,-,8,51,10,2,77,32,27,41,64,39,42,15,28,22,24
Jakarta,59,23,34,51,4,-,66,13,5,107,46,53,44,81,92,54,6,33,35,29
Jebel Ali,101,41,63,128,18,25,-,51,19,167,120,79,76,190,73,85,53,137,30,85
Kaohsiung,17,26,30,86,12,14,52,-,12,309,87,55,25,95,51,35,33,44,9,17
Laem Chabang,40,17,24,40,4,7,54,10,-,90,33,37,34,58,68,41,10,27,27,20
Los Angeles,277,133,101,109,30,39,155,140,31,-,436,94,218,163,429,271,107,67,134,186
New Jersey,112,48,145,66,18,21,104,73,16,456,-,58,108,74,254,236,73,20,47,92
Piraeus,85,48,111,18,17,19,134,45,14,90,97,-,73,37,175,163,69,20,32,67
Qingdao,29,34,38,88,8,12,68,10,8,445,119,82,-,107,8,16,32,56,17,0
Rotterdam,157,58,249,4,33,46,324,94,37,190,97,25,151,-,354,351,138,28,62,108
Shanghai,13,90,61,288,20,26,112,14,23,484,294,184,20,341,-,14,54,140,34,4
Shenzhen,31,76,55,296,17,24,138,9,20,305,294,195,23,390,58,-,37,119,9,12
Singapore,46,59,28,139,4,9,96,44,7,351,104,96,50,198,68,91,-,96,17,41
Tanger Med,82,32,131,13,22,31,163,40,22,78,21,11,61,14,171,164,91,-,38,59
Tianjin,25,25,31,82,6,8,64,16,7,223,90,55,2,120,10,12,32,41,-,0
Xiamen,21,33,41,133,8,10,88,8,9,165,143,88,15,165,41,12,36,60,1,-
