Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,14,88,28,16,15,128,153,15,121,83,61,37,101,95,129,82,34,44,81
Cartagena,4,-,11,22,2,2,11,3,2,8,61,18,6,31,18,16,10,22,3,3
Colombo,16,8,-,21,11,14,100,10,12,8,24,19,12,31,40,40,55,18,4,12
Hamburg,7,22,21,-,2,3,31,5,2,6,111,17,6,95,24,24,11,88,3,7
Ho Chi Minh City,2,1,6,3,-,5,9,1,5,5,3,3,2,6,10,9,15,3,1,2
Jakarta,3,2,9,4,4,-,12,2,4,7,4,5,2,7,14,12,12,3,1,3
Jebel Ali,14,6,100,23,9,13,-,9,9,14,19,21,9,36,24,24,47,28,2,10
Kaohsiung,29,2,6,7,2,3,8,-,2,84,8,5,11,8,20,9,7,4,10,5
Laem Chabang,2,1,6,3,2,6,11,2,-,6,3,4,2,5,10,10,15,3,1,2
Los Angeles,56,11,15,11,5,7,23,26,5,-,47,10,42,17,90,50,18,7,18,26
New Jersey,9,83,21,108,2,2,58,7,2,31,-,60,9,132,32,28,10,58,4,8
Piraeus,7,9,17,11,2,2,25,5,2,5,16,-,6,26,20,18,10,24,2,5
Qingdao,41,3,14,36,10,10,50,26,9,119,63,39,-,46,96,38,55,33,18,1
Rotterdam,11,33,31,53,3,5,47,8,4,10,176,17,10,-,36,34,16,144,4,10
Shanghai,132,12,30,33,8,10,35,44,8,147,53,25,48,38,-,25,39,17,73,12
Shenzhen,167,11,33,36,41,12,52,27,40,38,56,30,38,48,100,-,158,16,27,13
Singapore,173,9,52,19,8,17,82,11,8,32,22,17,109,27,54,55,-,14,45,78
Tanger Med,6,22,19,50,2,3,27,3,2,4,40,14,5,84,19,17,11,-,2,5
Tianjin,27,11,11,31,6,13,59,6,4,24,40,31,39,40,107,32,43,15,-,0
Xiamen,106,7,51,53,7,13,81,16,13,19,61,45,13,62,58,211,67,7,5,-
