Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,6,32,31,5,8,56,168,6,132,47,29,40,42,104,54,35,17,13,31
Cartagena,4,-,12,22,2,3,11,3,2,8,63,18,6,32,19,16,10,23,3,4
Colombo,15,8,-,22,11,15,101,11,13,8,24,19,11,31,40,40,56,18,3,11
Hamburg,7,22,21,-,2,3,32,5,2,7,113,17,7,95,25,25,12,88,3,7
Ho Chi Minh City,2,1,6,4,-,6,9,1,4,5,3,3,2,6,10,9,16,3,1,2
Jakarta,3,2,9,4,4,-,13,2,3,7,4,5,2,7,13,12,12,3,1,3
Jebel Ali,14,6,99,24,10,14,-,10,9,14,19,21,9,37,24,25,48,29,2,10
Kaohsiung,29,2,6,7,2,3,8,-,2,91,8,5,10,8,20,9,7,4,10,5
Laem Chabang,2,1,6,3,2,6,11,2,-,6,3,4,2,5,10,10,14,3,1,2
Los Angeles,62,13,16,13,5,7,26,29,6,-,51,11,46,18,99,54,21,8,20,28
New Jersey,10,85,21,109,2,3,58,7,2,31,-,62,9,134,32,28,10,58,3,8
Piraeus,7,10,18,11,2,2,25,5,2,5,17,-,6,28,21,19,10,26,2,5
Qingdao,12,3,13,11,2,4,18,29,3,129,16,13,-,13,33,11,17,8,5,1
Rotterdam,11,33,33,53,3,5,49,8,4,11,179,18,11,-,37,34,17,145,4,9
Shanghai,62,12,30,33,9,11,36,48,9,159,51,25,54,41,-,26,41,18,34,12
Shenzhen,35,11,34,37,9,12,52,27,10,38,54,30,8,49,19,-,46,16,7,3
Singapore,16,9,53,19,8,17,82,12,8,33,22,17,15,27,53,56,-,15,4,15
Tanger Med,6,22,19,51,2,4,28,3,2,4,41,13,5,84,19,17,11,-,2,5
Tianjin,10,3,11,9,2,3,16,6,2,24,11,7,12,13,26,8,13,5,-,0
Xiamen,24,3,16,16,3,3,25,15,3,19,18,13,5,20,14,56,19,7,1,-
