Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,273,"1,332","1,385",209,334,"2,340","6,887",232,"5,504","2,052","1,199","1,874","1,761","4,637","2,370","1,710",736,"1,126","1,333"
Cartagena,184,-,543,"1,034",103,141,533,117,93,429,"2,714",796,245,"1,484",801,666,482,"1,089",134,164
Colombo,"1,350",538,-,"1,808",618,790,"5,521",876,663,648,"1,631","1,563","1,048","2,681","3,535","3,470","2,987","1,502",314,"1,040"
Hamburg,661,984,"1,911",-,192,274,"2,901",448,197,569,"2,362","1,612",600,"2,743","2,262","2,224","1,027","2,468",267,600
Ho Chi Minh City,239,128,736,399,-,671,"1,124",170,539,551,354,312,262,617,"1,210","1,148","1,816",298,125,248
Jakarta,344,180,"1,052",510,444,-,"1,541",216,466,770,510,644,291,837,"1,619","1,554","1,468",378,174,307
Jebel Ali,"1,209",362,"5,218","1,980",533,736,-,816,523,"1,111","1,027","1,662",834,"3,054","2,129","2,169","2,459","2,481",246,867
Kaohsiung,"2,476",167,425,632,151,210,624,-,159,"3,533",718,448,901,713,"1,711",761,587,336,810,401
Laem Chabang,258,138,734,401,226,753,"1,198",175,-,623,372,444,250,571,"1,211","1,168","1,815",291,157,240
Los Angeles,"2,809",590,781,526,235,312,"1,148","1,213",226,-,"2,254",505,"2,148",825,"4,418","2,421",889,350,846,"1,210"
New Jersey,693,"3,686","1,592","2,438",154,193,"1,068",525,135,"2,035",-,"1,431",647,"2,913","2,240","1,955",758,"1,045",249,578
Piraeus,596,807,"1,573","1,004",178,216,"2,257",375,153,450,"1,422",-,515,"2,336","1,880","1,654",876,"2,150",199,483
Qingdao,"1,164",253,"1,003",823,200,309,"1,440","1,054",187,"5,039","1,249",873,-,"1,013","2,660",915,"1,197",573,446,45
Rotterdam,"1,004","1,494","2,880","1,643",301,447,"4,288",700,333,837,"3,712","1,596",954,-,"3,151","3,089","1,459","3,862",345,845
Shanghai,"2,845",743,"2,543","2,933",739,954,"3,266","1,877",743,"5,799","3,553","2,219","2,522","3,511",-,"2,240","3,654","1,545","1,680",977
Shenzhen,"3,247",649,"2,870","3,148",801,"1,095","4,668","2,134",841,"2,899","3,826","2,531",767,"4,233","1,859",-,"3,939","1,396",648,262
Singapore,"1,491",546,"2,897","1,651",905,"2,126","4,646",994,949,"2,723","1,530","1,406","1,353","2,426","4,865","4,857",-,"1,263",359,"1,392"
Tanger Med,530,998,"1,650","1,422",212,318,"2,400",311,219,351,"1,057","1,226",478,"1,970","1,673","1,525","1,043",-,202,421
Tianjin,907,189,765,739,135,212,"1,315",548,155,"1,986",915,586,992,"1,122","2,135",635,"1,081",404,-,42
Xiamen,"1,903",256,"1,272","1,286",227,293,"2,129","1,227",247,"1,561","1,614",982,444,"1,624","1,197","4,369","1,609",606,42,-
