PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,18.80
2,6,10,18.96
3,11,15,18.98
4,16,20,19.05
5,21,25,18.41
6,26,30,18.56
7,31,35,19.10
8,36,40,19.07
9,41,45,18.59
10,46,50,18.35
11,51,55,18.49
12,56,60,18.84
13,61,65,18.53
14,66,70,18.79
15,71,75,19.42
16,76,80,19.03
17,81,85,19.30
18,86,90,19.28
19,91,95,19.55
20,96,100,20.52
21,101,105,21.19
22,106,110,22.23
23,111,115,23.27
24,116,120,24.21
25,121,125,24.14
26,126,130,24.63
27,131,135,25.20
28,136,140,25.97
29,141,145,26.78
30,146,150,27.70
31,151,155,27.53
32,156,160,28.19
33,161,165,29.26
34,166,170,30.65
35,171,175,31.51
36,176,180,32.82
37,181,185,32.72
38,186,190,32.69
39,191,195,33.26
40,196,200,34.10
41,201,205,34.68
42,206,210,35.40
43,211,215,36.63
44,216,220,34.69
45,221,225,35.39
46,226,230,35.91
47,231,235,36.72
48,236,240,37.69
49,241,245,38.83
50,246,250,39.74
51,251,255,39.13
52,256,260,39.68
53,261,265,39.85
54,266,270,40.13
55,271,275,40.92
56,276,280,41.58
57,281,285,41.98
58,286,290,43.16
59,291,295,43.61
60,296,300,44.27
61,301,305,46.09
62,306,310,46.40
63,311,315,47.49
64,316,320,48.18
65,321,325,48.55
66,326,330,48.67
67,331,335,49.33
68,336,340,49.12
69,341,345,50.53
70,346,350,50.27
71,351,355,51.80
72,356,360,52.60
,,OverallMean,32.04
,,PeriodStdDev,11.10
