Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,13,86,27,16,14,126,145,15,117,81,60,35,99,92,126,81,33,44,80
Cartagena,4,-,12,23,2,3,12,3,2,9,64,19,6,33,19,16,10,23,3,4
Colombo,16,8,-,21,11,15,101,10,12,8,23,19,12,32,40,41,56,19,4,12
Hamburg,8,23,21,-,2,3,33,5,2,7,114,18,7,96,26,25,12,88,3,7
Ho Chi Minh City,2,1,6,4,-,5,9,1,5,5,3,3,2,6,10,9,15,3,1,2
Jakarta,3,1,9,4,4,-,13,2,4,7,4,5,2,7,14,12,12,3,1,3
Jebel Ali,14,6,101,23,10,13,-,9,9,14,19,20,9,37,24,24,48,29,3,10
Kaohsiung,29,2,6,7,2,3,8,-,2,79,8,5,11,8,20,9,7,4,10,5
Laem Chabang,2,1,6,3,2,6,11,2,-,6,3,4,2,5,10,10,15,3,1,2
Los Angeles,54,11,15,11,4,7,22,26,5,-,45,10,41,17,88,49,18,7,18,25
New Jersey,9,86,22,110,2,2,59,7,2,30,-,63,9,135,32,28,10,59,3,8
Piraeus,7,10,18,12,2,2,26,5,2,5,17,-,6,28,22,19,10,26,2,5
Qingdao,41,3,14,36,10,10,50,24,10,114,63,38,-,46,96,38,55,33,18,1
Rotterdam,11,34,33,53,4,5,50,8,4,10,181,17,11,-,37,36,16,146,4,10
Shanghai,130,11,30,33,9,10,36,42,8,139,51,25,46,39,-,25,41,17,72,13
Shenzhen,168,10,34,37,42,12,55,27,40,38,56,31,38,51,99,-,159,17,27,13
Singapore,174,8,52,19,8,17,83,12,8,32,21,18,109,28,57,54,-,15,45,79
Tanger Med,6,22,19,50,2,4,28,4,3,4,41,14,5,85,20,17,11,-,2,5
Tianjin,27,11,11,31,6,13,59,6,4,24,40,31,39,40,107,32,43,15,-,0
Xiamen,106,7,51,53,7,13,81,15,13,19,61,45,13,62,58,211,67,7,5,-
