Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,253,"1,274","1,399",197,292,"2,265","6,942",221,"5,557","2,026","1,168","1,875","1,700","4,549","2,295","1,495",723,"1,090","1,277"
Cartagena,184,-,546,"1,034",103,142,533,117,93,430,"2,718",789,239,"1,486",863,666,483,"1,089",124,158
Colombo,"1,316",521,-,"1,829",614,785,"5,505",869,660,641,"1,620","1,584","1,015","2,699","3,561","3,493","2,963","1,517",305,982
Hamburg,634,911,"1,914",-,193,265,"2,931",446,198,567,"2,374","1,563",582,"2,762","2,274","2,239","1,033","2,485",262,566
Ho Chi Minh City,204,116,736,409,-,671,"1,123",170,538,549,346,319,229,627,"1,209","1,143","1,815",303,105,233
Jakarta,284,171,"1,033",523,443,-,"1,516",207,466,750,510,653,248,854,"1,561","1,551","1,467",384,145,279
Jebel Ali,"1,181",345,"5,419","1,992",530,733,-,808,520,"1,105","1,023","1,683",802,"3,077","2,150","2,192","2,453","2,499",234,812
Kaohsiung,"2,479",154,426,638,152,199,625,-,159,"3,566",719,450,902,713,"1,687",785,528,336,812,410
Laem Chabang,217,127,733,409,226,753,"1,196",175,-,623,362,450,220,582,"1,167","1,168","1,815",294,134,229
Los Angeles,"2,793",568,734,528,218,284,"1,051","1,224",205,-,"2,275",507,"2,162",830,"4,401","2,438",812,353,808,"1,164"
New Jersey,671,"3,526","1,592","2,442",154,191,"1,069",524,135,"2,074",-,"1,411",624,"2,915","2,333","1,936",741,"1,045",236,551
Piraeus,583,766,"1,573","1,008",181,215,"2,280",373,154,447,"1,415",-,504,"2,351","1,899","1,668",878,"2,170",194,462
Qingdao,"1,129",243,979,818,189,292,"1,361","1,061",173,"5,078","1,193",856,-,996,"2,527",886,"1,106",556,429,44
Rotterdam,975,"1,409","2,897","1,653",307,439,"4,368",692,336,834,"3,718","1,558",932,-,"3,200","3,117","1,459","3,874",339,833
Shanghai,"2,746",695,"2,519","2,945",732,935,"3,244","1,891",732,"5,874","3,520","2,237","2,527","3,566",-,"2,260","3,569","1,568","1,644",977
Shenzhen,"3,085",620,"2,854","3,171",752,"1,081","4,612","2,135",789,"2,910","3,789","2,548",730,"4,269","1,701",-,"3,687","1,406",627,253
Singapore,"1,277",510,"2,883","1,669",904,"2,119","4,635",982,947,"2,705","1,523","1,420","1,236","2,440","4,896","4,903",-,"1,274",309,"1,299"
Tanger Med,509,951,"1,651","1,435",215,313,"2,459",311,221,350,"1,061","1,192",484,"1,976","1,686","1,539","1,048",-,191,407
Tianjin,886,171,740,724,127,189,"1,243",548,149,"1,986",879,577,958,"1,104","1,982",605,"1,001",401,-,42
Xiamen,"1,796",238,"1,203","1,268",219,266,"2,007","1,228",230,"1,567","1,563",965,435,"1,601","1,109","4,178","1,484",618,36,-
