Port,Origin Waiting TEU,Transshipment Waiting TEU,Total Waiting TEU,Vessels Waiting
Busan,"1,290",273,"1,563",0.01
Cartagena,267,0,267,0.01
Colombo,461,11,472,0.01
Hamburg,499,0,499,0.00
Ho Chi Minh City,93,0,93,0.04
Jakarta,109,0,109,0.05
Jebel Ali,423,0,423,0.00
Kaohsiung,225,87,311,0.12
Laem Chabang,93,0,93,0.02
Los Angeles,471,0,471,0.00
New Jersey,677,162,839,0.01
Piraeus,225,0,225,0.00
Qingdao,701,63,764,0.01
Rotterdam,670,0,670,0.00
Shanghai,780,"1,472","2,252",0.00
Shenzhen,954,224,"1,178",0.00
Singapore,839,"1,200","2,039",0.01
Tanger Med,342,159,501,0.01
Tianjin,541,0,541,0.01
Xiamen,896,0,896,0.02
TOTAL,"10,555","3,651","14,207",0.34
