Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,5,26,24,4,6,44,133,5,114,37,23,33,33,86,33,30,14,13,26
Cartagena,4,-,12,22,2,2,11,3,2,9,62,18,6,31,19,16,10,23,3,3
Colombo,16,9,-,21,12,16,112,10,14,9,22,19,12,32,42,41,62,19,4,12
Hamburg,8,23,21,-,2,3,33,5,2,7,55,17,7,32,25,26,12,29,3,7
Ho Chi Minh City,2,1,6,3,-,5,9,1,4,5,3,3,2,6,10,9,16,3,1,2
Jakarta,3,2,9,4,3,-,12,2,4,7,4,5,2,7,14,12,12,3,2,3
Jebel Ali,13,8,109,24,11,15,-,9,11,15,22,21,9,37,25,25,51,30,3,10
Kaohsiung,33,3,6,8,2,3,9,-,2,77,9,6,12,9,23,11,8,5,11,5
Laem Chabang,2,2,6,3,2,6,10,2,-,6,3,4,2,5,10,10,15,2,1,2
Los Angeles,47,14,13,10,4,6,20,23,4,-,41,9,37,15,79,45,16,6,15,22
New Jersey,9,90,21,55,2,2,24,7,2,31,-,32,9,67,29,27,9,25,3,8
Piraeus,7,13,18,12,2,2,26,5,2,5,18,-,6,28,22,20,10,27,2,5
Qingdao,14,4,12,11,3,3,17,22,2,104,16,11,-,12,31,11,15,8,5,0
Rotterdam,11,35,32,20,4,5,51,8,4,12,84,18,11,-,38,34,16,45,4,10
Shanghai,52,12,30,34,8,11,38,37,9,126,46,27,44,41,-,27,41,18,27,12
Shenzhen,34,11,34,38,10,13,54,27,10,38,50,31,8,52,19,-,48,17,7,3
Singapore,18,8,59,20,8,17,91,12,8,36,20,17,15,28,58,57,-,16,4,16
Tanger Med,6,23,19,17,3,3,27,3,3,4,24,14,5,24,19,17,12,-,2,5
Tianjin,11,3,10,9,2,3,16,6,2,24,11,7,12,13,25,8,13,5,-,0
Xiamen,23,4,15,16,3,3,25,15,3,19,18,13,5,20,14,55,20,7,1,-
