Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,259,"1,392","1,417",217,297,"2,375","6,949",231,"5,557","2,041","1,197","1,874","1,755","4,636","2,325","1,546",736,"1,125","1,319"
Cartagena,167,-,547,"1,040",108,138,537,117,97,430,"2,728",802,227,"1,493",844,709,472,"1,094",107,155
Colombo,"1,269",514,-,"1,844",618,794,"5,530",867,667,658,"1,605","1,551",964,"2,658","3,596","3,466","2,993","1,484",245,"1,000"
Hamburg,624,914,"1,933",-,195,270,"2,921",445,200,580,"2,476","1,595",556,"2,864","2,283","2,225","1,023","2,531",203,578
Ho Chi Minh City,214,112,736,406,-,671,"1,124",168,536,552,346,313,246,616,"1,231","1,155","1,852",298,98,226
Jakarta,306,171,"1,052",514,443,-,"1,541",216,466,769,504,630,279,809,"1,619","1,558","1,465",357,142,281
Jebel Ali,"1,131",332,"5,227","1,987",538,740,-,807,527,"1,114","1,081","1,654",790,"3,031","2,162","2,163","2,478","2,449",190,832
Kaohsiung,"2,472",148,447,646,161,207,641,-,168,"3,561",704,448,901,711,"1,707",781,533,336,807,402
Laem Chabang,232,125,734,408,226,751,"1,198",168,-,623,362,443,231,571,"1,227","1,174","1,855",291,125,217
Los Angeles,"2,742",568,796,543,239,304,"1,111","1,233",231,-,"2,273",507,"2,150",830,"4,365","2,449",887,353,839,"1,231"
New Jersey,656,"3,536","1,592","2,534",162,186,"1,130",524,138,"2,042",-,"1,493",632,"3,047","2,318","2,026",728,"1,102",200,574
Piraeus,562,760,"1,584","1,021",187,213,"2,272",376,156,452,"1,472",-,483,"2,317","1,910","1,641",867,"2,119",162,462
Qingdao,"1,148",234,"1,009",823,203,304,"1,435","1,061",193,"5,081","1,224",871,-,979,"2,655",911,"1,178",556,437,46
Rotterdam,947,"1,413","2,938","1,725",308,440,"4,333",695,340,846,"3,897","1,590",912,-,"3,231","3,115","1,448","3,991",260,803
Shanghai,"2,803",691,"2,595","2,948",760,936,"3,247","1,891",760,"5,873","3,491","2,208","2,522","3,473",-,"2,240","3,563","1,533","1,674",988
Shenzhen,"3,128",614,"2,913","3,200",815,"1,081","4,642","2,130",860,"2,900","3,737","2,512",747,"4,195","1,855",-,"3,845","1,381",625,251
Singapore,"1,427",505,"2,902","1,674",902,"2,125","4,662",981,947,"2,752","1,496","1,393","1,328","2,410","4,924","4,857",-,"1,252",355,"1,306"
Tanger Med,486,954,"1,654","1,487",217,311,"2,447",310,221,357,"1,097","1,210",456,"2,046","1,698","1,522","1,037",-,157,404
Tianjin,889,178,778,739,138,203,"1,314",559,155,"1,986",900,585,988,"1,098","2,131",632,"1,060",393,-,43
Xiamen,"1,895",243,"1,293","1,284",231,286,"2,129","1,221",253,"1,559","1,573",983,444,"1,582","1,199","4,361","1,569",593,42,-
