Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,5,24,23,4,6,43,127,5,110,35,21,32,30,82,32,28,13,13,26
Cartagena,5,-,12,22,2,3,12,3,2,9,65,18,6,33,19,17,10,23,3,4
Colombo,15,9,-,21,13,16,112,10,14,9,23,19,13,31,42,42,63,18,4,12
Hamburg,8,23,22,-,2,3,34,5,2,8,56,18,7,32,26,26,13,29,3,7
Ho Chi Minh City,2,1,6,3,-,5,9,1,4,5,3,3,2,6,11,9,16,3,1,2
Jakarta,3,2,9,4,4,-,13,2,4,7,4,6,2,7,13,12,12,3,1,3
Jebel Ali,14,8,109,24,11,15,-,10,11,15,22,20,10,36,24,26,51,29,3,10
Kaohsiung,33,3,6,8,2,3,9,-,2,73,9,6,12,9,23,11,8,5,11,5
Laem Chabang,2,1,6,3,2,6,10,2,-,6,3,4,2,5,10,10,15,2,1,2
Los Angeles,45,11,12,9,4,6,19,21,4,-,38,8,36,14,74,42,14,6,15,20
New Jersey,9,91,21,56,2,2,24,7,2,32,-,33,9,68,31,27,10,25,3,8
Piraeus,7,13,18,12,2,3,26,5,2,6,17,-,6,28,22,20,10,26,2,6
Qingdao,14,4,12,11,2,3,17,21,2,99,16,11,-,12,32,11,15,8,5,0
Rotterdam,11,34,33,20,4,5,51,8,4,12,87,18,11,-,39,35,17,46,4,11
Shanghai,49,13,31,36,9,11,39,36,9,119,49,27,42,42,-,27,42,19,25,12
Shenzhen,34,12,35,37,10,13,54,27,10,38,53,32,8,51,19,-,47,17,7,3
Singapore,17,9,59,19,8,17,91,12,8,37,20,17,15,28,59,57,-,16,4,16
Tanger Med,6,23,20,17,2,4,28,3,3,4,24,14,6,25,19,18,12,-,2,5
Tianjin,10,3,11,9,2,3,16,6,2,24,11,7,12,13,26,8,13,5,-,0
Xiamen,23,4,16,16,3,3,25,15,3,19,18,13,5,20,14,56,20,7,1,-
