Port,Origin Waiting TEU,Transshipment Waiting TEU,Total Waiting TEU,Vessels Waiting
Busan,659,167,826,0.01
Cartagena,267,0,267,0.01
Colombo,486,17,503,0.01
Hamburg,323,0,323,0.00
Ho Chi Minh City,93,0,93,0.04
Jakarta,110,0,110,0.05
Jebel Ali,446,0,446,0.00
Kaohsiung,239,85,324,0.15
Laem Chabang,93,0,93,0.02
Los Angeles,398,0,398,0.00
New Jersey,459,159,618,0.01
Piraeus,231,0,231,0.00
Qingdao,296,82,378,0.01
Rotterdam,450,0,450,0.00
Shanghai,636,"1,359","1,995",0.00
Shenzhen,506,159,665,0.00
Singapore,509,510,"1,019",0.01
Tanger Med,237,85,322,0.00
Tianjin,183,0,183,0.01
Xiamen,281,0,281,0.02
TOTAL,"6,902","2,625","9,527",0.36
