PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,18.80
2,6,10,18.96
3,11,15,18.98
4,16,20,19.05
5,21,25,18.41
6,26,30,18.56
7,31,35,19.10
8,36,40,19.07
9,41,45,18.59
10,46,50,18.37
11,51,55,18.53
12,56,60,18.88
13,61,65,18.57
14,66,70,18.89
15,71,75,19.54
16,76,80,19.15
17,81,85,19.65
18,86,90,19.84
19,91,95,20.47
20,96,100,21.46
21,101,105,22.26
22,106,110,23.42
23,111,115,24.55
24,116,120,25.28
25,121,125,26.52
26,126,130,27.06
27,131,135,26.72
28,136,140,27.88
29,141,145,28.53
30,146,150,29.53
31,151,155,29.54
32,156,160,30.63
33,161,165,31.65
34,166,170,33.06
35,171,175,34.36
36,176,180,35.35
37,181,185,35.33
38,186,190,35.47
39,191,195,36.35
40,196,200,37.02
41,201,205,37.54
42,206,210,37.88
43,211,215,38.93
44,216,220,37.85
45,221,225,39.10
46,226,230,39.82
47,231,235,40.72
48,236,240,41.40
49,241,245,42.77
50,246,250,43.05
51,251,255,43.61
52,256,260,44.11
53,261,265,44.02
54,266,270,44.78
55,271,275,45.51
56,276,280,46.28
57,281,285,46.87
58,286,290,48.31
59,291,295,48.62
60,296,300,49.83
61,301,305,51.39
62,306,310,51.75
63,311,315,53.09
64,316,320,54.37
65,321,325,54.50
66,326,330,54.53
67,331,335,55.23
68,336,340,55.09
69,341,345,56.38
70,346,350,56.17
71,351,355,57.22
72,356,360,58.34
,,OverallMean,34.76
,,PeriodStdDev,13.15
