Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,34,57,155,10,14,126,93,11,518,200,114,8,189,35,48,53,75,5,25
Cartagena,47,-,62,39,14,18,57,21,14,101,33,41,64,54,114,101,58,32,43,36
Colombo,128,53,-,136,13,18,65,49,16,93,100,92,110,196,83,98,30,100,59,98
Hamburg,130,40,168,-,22,29,224,60,22,128,67,28,120,7,249,256,99,22,81,93
Ho Chi Minh City,53,16,27,42,-,8,54,12,2,80,32,27,42,64,43,45,15,28,27,26
Jakarta,79,22,34,52,4,-,66,13,5,107,45,54,43,83,92,54,6,34,44,32
Jebel Ali,138,41,63,128,17,25,-,53,19,169,119,79,104,190,73,85,53,137,59,103
Kaohsiung,18,27,31,87,13,14,53,-,12,311,88,56,27,96,55,35,34,44,9,17
Laem Chabang,52,17,24,40,4,7,56,11,-,93,32,37,35,57,71,43,10,27,34,22
Los Angeles,277,134,104,111,32,41,159,140,32,-,437,96,218,167,428,283,111,68,127,144
New Jersey,147,48,145,67,18,21,104,75,16,481,-,57,117,75,254,236,73,20,68,95
Piraeus,102,49,111,18,17,18,135,47,15,90,99,-,94,37,176,163,69,20,51,75
Qingdao,34,34,39,88,8,12,67,10,8,449,119,81,-,106,8,15,33,56,17,0
Rotterdam,190,58,248,4,33,46,324,97,37,192,98,25,178,-,353,351,137,27,106,138
Shanghai,13,91,62,287,20,26,112,14,22,488,297,183,20,340,-,14,54,140,39,4
Shenzhen,32,76,55,295,17,24,137,9,20,309,298,194,24,390,62,-,37,118,9,12
Singapore,68,59,28,138,4,9,97,46,7,354,105,96,52,197,66,92,-,95,23,38
Tanger Med,107,32,131,13,22,31,163,41,22,78,21,11,90,14,171,164,91,-,57,65
Tianjin,28,25,31,80,6,9,63,16,7,225,90,54,2,119,10,11,32,40,-,0
Xiamen,22,33,39,131,8,10,87,8,9,169,143,87,16,162,45,11,35,59,1,-
