Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,15,90,32,16,15,134,160,15,128,89,64,39,105,99,132,85,34,44,83
Cartagena,4,-,12,22,2,3,12,3,2,9,63,18,6,32,19,16,10,23,3,4
Colombo,16,7,-,21,11,15,100,11,12,8,23,19,12,32,40,40,56,19,4,11
Hamburg,7,23,21,-,2,3,33,5,2,7,113,18,7,97,25,25,12,88,3,7
Ho Chi Minh City,2,1,6,3,-,5,9,1,5,5,3,3,2,6,10,9,15,3,1,2
Jakarta,3,2,9,4,4,-,13,2,4,7,4,5,2,7,14,12,12,3,1,3
Jebel Ali,14,6,100,23,10,13,-,10,9,14,19,20,9,36,24,25,48,28,3,10
Kaohsiung,29,2,6,7,2,3,8,-,2,88,8,5,10,8,20,9,7,4,10,5
Laem Chabang,2,1,6,3,2,6,11,2,-,6,3,4,2,5,10,10,15,3,1,2
Los Angeles,62,12,16,13,5,7,25,29,6,-,51,11,46,18,97,53,20,8,20,28
New Jersey,9,84,21,109,2,2,59,7,2,29,-,62,9,133,29,27,10,58,3,8
Piraeus,7,9,17,11,2,2,25,5,2,5,17,-,6,26,21,19,10,25,2,5
Qingdao,12,3,13,35,9,10,49,28,9,124,61,41,-,46,96,38,54,32,18,0
Rotterdam,11,33,33,53,3,5,48,8,4,11,179,18,11,-,37,34,17,145,4,9
Shanghai,136,12,29,34,9,10,36,46,8,153,48,26,52,40,-,25,40,17,75,12
Shenzhen,168,10,34,37,41,52,52,27,40,38,51,29,38,49,99,-,159,16,27,13
Singapore,218,8,51,20,8,17,83,11,8,33,21,17,99,28,232,55,-,16,45,79
Tanger Med,6,22,18,51,2,4,27,3,2,4,41,13,5,84,19,18,11,-,2,5
Tianjin,27,11,11,31,6,13,59,6,4,25,40,30,39,40,107,32,43,15,-,0
Xiamen,106,7,51,53,7,12,81,15,13,19,61,45,12,62,58,211,67,7,5,-
