Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,253,"1,375","1,383",195,324,"2,230","6,887",218,"5,493","1,993","1,153","1,832","1,677","4,515","2,268","1,650",713,"1,090","1,265"
Cartagena,165,-,546,"1,037",103,142,533,117,93,430,"2,725",801,218,"1,489",802,666,483,"1,090",106,151
Colombo,"1,197",523,-,"1,790",614,785,"5,505",851,661,649,"1,633","1,619",916,"2,649","3,529","3,464","2,964","1,553",253,977
Hamburg,577,913,"1,911",-,190,274,"2,962",435,197,569,"2,374","1,573",515,"2,717","2,248","2,218","1,027","2,434",204,580
Ho Chi Minh City,172,120,736,399,-,671,"1,123",169,538,549,354,321,210,613,"1,208","1,142","1,815",311,95,236
Jakarta,231,177,"1,033",506,443,-,"1,516",204,466,770,510,654,236,826,"1,529","1,521","1,467",384,125,280
Jebel Ali,"1,063",345,"5,419","1,959",530,733,-,783,520,"1,111","1,023","1,704",728,"3,027","2,123","2,156","2,453","2,537",184,795
Kaohsiung,"2,477",154,468,638,151,210,625,-,159,"3,532",719,450,871,713,"1,647",762,588,336,812,401
Laem Chabang,194,129,733,399,226,752,"1,197",174,-,623,372,455,216,571,"1,167","1,168","1,812",299,119,229
Los Angeles,"2,704",574,782,525,214,312,"1,039","1,217",202,-,"2,248",500,"2,098",825,"4,274","2,422",889,350,812,"1,211"
New Jersey,616,"3,533","1,609","2,442",158,192,"1,069",535,136,"2,040",-,"1,439",610,"2,919","2,269","1,982",757,"1,045",202,562
Piraeus,521,768,"1,572",988,178,216,"2,286",366,153,451,"1,425",-,458,"2,296","1,870","1,645",876,"2,219",160,458
Qingdao,"1,135",243,"1,004",792,185,296,"1,329","1,054",169,"5,037","1,193",855,-,970,"2,527",867,"1,132",555,429,45
Rotterdam,887,"1,412","2,882","1,619",300,447,"4,376",669,332,837,"3,719","1,573",841,-,"3,144","3,076","1,459","3,792",258,817
Shanghai,"2,650",710,"2,571","2,888",710,951,"3,169","1,876",721,"5,793","3,563","2,259","2,471","3,468",-,"2,235","3,641","1,596","1,621",977
Shenzhen,"3,085",630,"2,896","3,109",740,"1,043","4,530","2,135",768,"2,842","3,829","2,584",706,"4,185","1,657",-,"3,786","1,424",627,249
Singapore,"1,113",518,"2,884","1,634",904,"2,117","4,635",965,947,"2,725","1,531","1,447","1,186","2,400","4,634","4,842",-,"1,288",291,"1,327"
Tanger Med,435,953,"1,650","1,397",211,318,"2,468",303,217,351,"1,061","1,208",418,"1,947","1,668","1,521","1,044",-,159,409
Tianjin,869,171,766,712,123,191,"1,222",548,145,"1,986",878,577,957,"1,087","1,981",588,"1,026",401,-,42
Xiamen,"1,796",238,"1,226","1,239",218,274,"1,959","1,227",224,"1,528","1,560",965,417,"1,568","1,076","4,171","1,509",618,36,-
