Port,Origin Waiting TEU,Transshipment Waiting TEU,Total Waiting TEU,Vessels Waiting
Busan,"1,381",298,"1,679",0.02
Cartagena,263,0,263,0.01
Colombo,458,17,475,0.01
Hamburg,499,0,499,0.00
Ho Chi Minh City,93,0,93,0.04
Jakarta,109,0,109,0.05
Jebel Ali,421,1,422,0.00
Kaohsiung,232,132,364,0.13
Laem Chabang,93,0,93,0.02
Los Angeles,525,0,525,0.00
New Jersey,662,161,823,0.00
Piraeus,217,0,217,0.00
Qingdao,679,69,748,0.01
Rotterdam,664,0,664,0.00
Shanghai,809,"1,564","2,373",0.00
Shenzhen,982,173,"1,155",0.00
Singapore,"1,048","2,031","3,079",0.01
Tanger Med,337,153,490,0.00
Tianjin,541,0,541,0.01
Xiamen,896,0,896,0.02
TOTAL,"10,908","4,598","15,506",0.35
