PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,18.75
2,6,10,18.82
3,11,15,18.79
4,16,20,18.69
5,21,25,18.65
6,26,30,18.71
7,31,35,18.70
8,36,40,18.75
9,41,45,18.73
10,46,50,18.51
11,51,55,18.50
12,56,60,18.64
13,61,65,18.83
14,66,70,19.28
15,71,75,19.39
16,76,80,19.32
17,81,85,19.26
18,86,90,19.94
19,91,95,20.09
20,96,100,20.46
21,101,105,21.36
22,106,110,21.99
23,111,115,22.46
24,116,120,22.58
25,121,125,23.33
26,126,130,21.60
27,131,135,22.38
28,136,140,22.99
29,141,145,23.32
30,146,150,24.07
31,151,155,23.61
32,156,160,23.98
33,161,165,24.99
34,166,170,25.90
35,171,175,26.22
36,176,180,27.38
37,181,185,25.51
38,186,190,26.09
39,191,195,25.78
40,196,200,26.21
41,201,205,26.27
42,206,210,26.98
43,211,215,26.87
44,216,220,25.58
45,221,225,25.75
46,226,230,25.62
47,231,235,26.56
48,236,240,27.06
49,241,245,28.25
50,246,250,26.71
51,251,255,27.24
52,256,260,26.83
53,261,265,27.32
54,266,270,27.76
55,271,275,27.99
56,276,280,28.52
57,281,285,28.59
58,286,290,28.90
59,291,295,28.89
60,296,300,29.67
61,301,305,30.18
62,306,310,31.13
63,311,315,31.34
64,316,320,30.64
65,321,325,29.79
66,326,330,30.01
67,331,335,30.76
68,336,340,30.70
69,341,345,31.26
70,346,350,31.36
71,351,355,31.54
72,356,360,31.79
,,OverallMean,24.73
,,PeriodStdDev,4.35
