Port,Origin Waiting TEU,Transshipment Waiting TEU,Total Waiting TEU,Vessels Waiting
Busan,689,233,922,0.01
Cartagena,259,0,259,0.01
Colombo,484,18,502,0.00
Hamburg,318,0,318,0.00
Ho Chi Minh City,93,0,93,0.04
Jakarta,111,0,111,0.05
Jebel Ali,448,0,448,0.00
Kaohsiung,243,89,332,0.14
Laem Chabang,93,0,93,0.02
Los Angeles,426,0,426,0.00
New Jersey,451,164,615,0.01
Piraeus,229,0,229,0.00
Qingdao,302,125,427,0.01
Rotterdam,440,0,440,0.00
Shanghai,642,"1,572","2,214",0.00
Shenzhen,505,162,666,0.00
Singapore,507,"1,596","2,103",0.01
Tanger Med,230,78,309,0.01
Tianjin,182,0,182,0.01
Xiamen,281,0,281,0.02
TOTAL,"6,936","4,036","10,972",0.37
