PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,18.75
2,6,10,18.82
3,11,15,18.79
4,16,20,18.69
5,21,25,18.65
6,26,30,18.71
7,31,35,18.70
8,36,40,18.75
9,41,45,18.73
10,46,50,18.51
11,51,55,18.50
12,56,60,18.64
13,61,65,18.83
14,66,70,19.27
15,71,75,19.37
16,76,80,19.26
17,81,85,18.96
18,86,90,19.42
19,91,95,19.17
20,96,100,19.30
21,101,105,20.17
22,106,110,20.66
23,111,115,20.96
24,116,120,21.08
25,121,125,20.33
26,126,130,20.06
27,131,135,20.30
28,136,140,20.61
29,141,145,20.81
30,146,150,21.59
31,151,155,20.46
32,156,160,20.54
33,161,165,21.29
34,166,170,22.13
35,171,175,22.31
36,176,180,23.42
37,181,185,21.16
38,186,190,21.14
39,191,195,20.83
40,196,200,21.41
41,201,205,20.70
42,206,210,21.83
43,211,215,21.93
44,216,220,20.99
45,221,225,19.42
46,226,230,19.23
47,231,235,19.71
48,236,240,20.26
49,241,245,21.29
50,246,250,21.26
51,251,255,19.25
52,256,260,18.90
53,261,265,18.88
54,266,270,18.69
55,271,275,19.82
56,276,280,20.27
57,281,285,20.33
58,286,290,19.64
59,291,295,19.28
60,296,300,19.70
61,301,305,20.29
62,306,310,21.06
63,311,315,21.71
64,316,320,20.43
65,321,325,19.90
66,326,330,19.65
67,331,335,19.68
68,336,340,19.94
69,341,345,20.11
70,346,350,21.02
71,351,355,19.84
72,356,360,20.18
,,OverallMean,20.06
,,PeriodStdDev,1.10
