Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,35,61,159,11,15,133,99,12,483,209,120,8,202,33,42,58,78,5,31
Cartagena,32,-,61,39,14,18,56,21,14,95,33,38,42,54,112,100,57,32,23,25
Colombo,63,53,-,138,14,17,65,43,17,88,101,93,51,199,83,97,30,101,19,43
Hamburg,89,40,168,-,22,30,225,59,22,124,70,28,83,8,249,256,99,24,40,78
Ho Chi Minh City,14,16,29,43,-,8,55,9,2,75,32,27,16,65,39,41,15,29,8,12
Jakarta,18,22,35,51,4,-,69,12,5,99,46,53,17,80,47,53,6,33,12,14
Jebel Ali,69,41,63,129,18,24,-,50,19,157,92,80,50,192,73,85,53,138,18,45
Kaohsiung,16,26,31,87,12,15,52,-,13,263,89,57,17,96,36,18,34,45,9,9
Laem Chabang,14,16,26,41,4,7,57,9,-,89,32,38,14,58,36,40,10,28,10,12
Los Angeles,281,132,103,111,32,40,158,142,32,-,437,95,221,167,434,285,110,68,102,144
New Jersey,95,47,144,69,18,21,105,76,16,458,-,55,93,77,252,234,72,21,38,75
Piraeus,70,49,111,18,17,19,134,45,14,87,74,-,63,37,176,163,69,20,25,54
Qingdao,28,34,36,91,8,12,68,12,8,425,127,84,-,110,8,9,32,58,11,0
Rotterdam,133,58,249,5,33,46,323,96,36,186,102,25,132,-,353,351,138,29,51,109
Shanghai,13,87,61,288,21,25,111,12,23,466,297,185,20,341,-,14,53,140,35,4
Shenzhen,40,74,54,296,18,23,135,9,22,304,297,194,17,390,45,-,37,119,10,8
Singapore,56,57,29,139,4,9,98,40,7,322,105,97,56,199,69,92,-,96,19,45
Tanger Med,67,32,131,14,22,31,163,39,22,75,21,11,61,15,171,164,91,-,28,52
Tianjin,23,27,30,83,6,8,64,16,7,201,95,57,2,122,11,7,30,42,-,0
Xiamen,28,34,39,135,8,9,86,8,9,164,153,89,10,166,32,12,34,59,1,-
