Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,5,26,25,4,6,45,133,5,115,37,23,34,32,90,35,29,14,13,28
Cartagena,5,-,12,23,2,3,12,3,2,9,65,19,6,33,19,17,11,24,3,4
Colombo,14,9,-,19,13,16,111,10,14,8,22,18,12,30,39,39,62,17,4,11
Hamburg,7,24,21,-,2,3,32,5,2,7,57,17,7,31,24,26,12,28,3,6
Ho Chi Minh City,2,1,6,3,-,5,9,1,5,6,3,3,2,6,11,9,15,3,1,2
Jakarta,3,2,9,4,4,-,13,2,4,7,4,6,3,7,14,12,12,3,1,3
Jebel Ali,13,8,109,23,11,15,-,9,11,14,22,19,9,34,23,24,52,27,3,9
Kaohsiung,33,3,6,8,2,3,9,-,2,76,9,6,12,9,23,11,8,4,11,5
Laem Chabang,2,2,6,3,2,6,10,2,-,6,3,4,2,5,10,10,15,3,1,2
Los Angeles,47,11,13,10,4,6,20,23,4,-,40,9,37,14,79,44,15,6,15,22
New Jersey,9,92,20,57,2,2,25,7,2,31,-,33,9,69,31,26,9,26,3,8
Piraeus,7,12,17,11,2,2,25,5,2,5,16,-,6,27,21,19,9,25,2,6
Qingdao,14,4,12,11,3,3,17,22,2,104,16,11,-,12,31,11,15,8,5,1
Rotterdam,11,35,32,19,4,5,48,8,4,12,88,17,11,-,37,33,16,44,4,10
Shanghai,52,12,28,32,8,10,35,38,8,127,46,25,45,38,-,25,40,17,25,12
Shenzhen,34,11,33,35,9,12,50,27,10,38,50,30,8,48,19,-,44,16,7,3
Singapore,16,8,58,18,8,17,93,12,8,34,19,16,14,26,54,54,-,14,4,15
Tanger Med,6,23,19,16,2,3,27,3,2,4,25,14,5,23,18,17,11,-,2,5
Tianjin,11,3,11,9,2,3,16,6,2,24,11,7,12,13,26,8,13,5,-,0
Xiamen,24,4,16,16,3,3,25,16,3,19,18,13,5,20,14,55,19,7,1,-
