Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,264,"1,407","1,423",223,305,"2,396","6,910",241,"5,590","2,054","1,220","1,835","1,763","4,522","2,401","1,579",737,"1,126","1,335"
Cartagena,201,-,546,"1,040",111,142,534,117,98,430,"2,720",789,247,"1,490",864,732,471,"1,090",135,164
Colombo,"1,354",527,-,"1,857",618,796,"5,552",865,668,669,"1,631","1,625","1,008","2,686","3,586","3,546","3,007","1,508",317,"1,035"
Hamburg,666,913,"1,934",-,194,269,"2,923",443,199,583,"2,474","1,561",577,"2,894","2,279","2,276","1,022","2,563",275,597
Ho Chi Minh City,245,124,745,416,-,669,"1,134",168,533,558,354,321,254,626,"1,225","1,180","1,849",303,127,241
Jakarta,343,176,"1,049",517,443,-,"1,540",216,466,774,518,662,285,816,"1,613","1,587","1,484",365,184,304
Jebel Ali,"1,219",347,"5,246","2,012",539,740,-,801,528,"1,127","1,084","1,714",825,"3,062","2,160","2,229","2,488","2,478",253,859
Kaohsiung,"2,476",154,458,648,165,210,654,-,169,"3,596",712,463,893,713,"1,695",784,548,336,811,398
Laem Chabang,257,134,744,416,226,749,"1,221",168,-,631,372,453,242,582,"1,223","1,221","1,850",294,162,234
Los Angeles,"2,763",586,756,549,224,278,"1,027","1,219",211,-,"2,287",510,"2,101",837,"4,385","2,453",820,353,848,"1,212"
New Jersey,723,"3,529","1,622","2,533",164,190,"1,129",526,141,"2,080",-,"1,462",643,"3,040","2,325","2,038",711,"1,102",249,575
Piraeus,604,761,"1,591","1,028",185,213,"2,276",372,156,457,"1,460",-,505,"2,339","1,906","1,695",866,"2,154",203,481
Qingdao,"1,151",249,"1,013",823,203,304,"1,439","1,057",194,"5,122","1,251",911,-,982,"2,660",914,"1,180",556,456,45
Rotterdam,"1,014","1,412","2,947","1,749",308,439,"4,344",688,336,856,"3,884","1,566",933,-,"3,210","3,191","1,444","4,022",356,835
Shanghai,"2,819",723,"2,585","2,990",755,934,"3,235","1,880",755,"5,924","3,563","2,281","2,475","3,533",-,"2,306","3,552","1,552","1,692",977
Shenzhen,"3,249",640,"2,904","3,233",809,"1,078","4,611","2,133",854,"2,905","3,807","2,606",756,"4,238","1,815",-,"3,817","1,399",648,260
Singapore,"1,504",529,"2,921","1,697",900,"2,114","4,673",972,944,"2,783","1,512","1,456","1,324","2,431","4,921","4,980",-,"1,265",371,"1,369"
Tanger Med,529,951,"1,657","1,508",217,310,"2,449",310,221,364,"1,092","1,190",465,"2,063","1,690","1,561","1,035",-,207,419
Tianjin,891,187,778,739,138,203,"1,315",549,156,"2,024",918,622,990,"1,099","2,134",635,"1,062",395,-,42
Xiamen,"1,897",256,"1,297","1,286",231,286,"2,131","1,226",253,"1,563","1,601","1,038",440,"1,586","1,173","4,370","1,573",594,42,-
