Port,Origin Waiting TEU,Transshipment Waiting TEU,Total Waiting TEU,Vessels Waiting
Busan,701,170,871,0.02
Cartagena,271,0,271,0.01
Colombo,468,19,487,0.01
Hamburg,313,0,313,0.00
Ho Chi Minh City,93,0,93,0.04
Jakarta,110,0,110,0.05
Jebel Ali,434,0,434,0.00
Kaohsiung,242,91,333,0.14
Laem Chabang,94,0,94,0.02
Los Angeles,419,0,419,0.00
New Jersey,460,156,616,0.01
Piraeus,219,0,219,0.00
Qingdao,302,78,381,0.01
Rotterdam,437,0,437,0.00
Shanghai,625,"1,360","1,985",0.00
Shenzhen,484,144,627,0.00
Singapore,488,496,984,0.01
Tanger Med,228,82,310,0.01
Tianjin,183,0,183,0.01
Xiamen,281,0,281,0.02
TOTAL,"6,850","2,595","9,445",0.37
