Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,35,59,156,10,15,130,103,12,510,212,118,9,198,36,62,55,77,5,33
Cartagena,33,-,64,39,14,19,58,22,14,102,33,43,44,54,117,103,60,32,25,27
Colombo,64,51,-,137,14,17,65,47,17,93,101,93,53,198,82,97,30,101,20,41
Hamburg,90,40,169,-,22,29,225,61,22,130,70,28,83,7,249,257,99,23,40,77
Ho Chi Minh City,13,16,28,43,-,8,55,11,2,78,32,27,16,65,40,43,15,28,8,12
Jakarta,19,22,35,51,4,-,69,13,5,108,46,53,18,81,51,56,6,33,13,15
Jebel Ali,69,42,64,128,18,24,-,52,19,168,91,79,51,191,73,85,53,138,18,44
Kaohsiung,16,26,32,87,13,15,54,-,12,269,91,56,28,97,57,34,34,45,9,17
Laem Chabang,14,16,25,41,4,7,57,11,-,91,33,38,14,58,36,41,10,28,11,12
Los Angeles,276,132,102,110,31,39,157,139,31,-,438,95,217,165,426,276,108,68,101,144
New Jersey,97,47,145,69,18,21,111,76,16,476,-,62,95,77,254,236,73,21,39,78
Piraeus,71,50,111,18,17,19,135,46,14,90,75,-,63,37,176,163,69,20,26,53
Qingdao,34,33,37,91,8,12,69,13,8,439,123,85,-,110,8,18,33,59,17,0
Rotterdam,133,58,249,5,33,46,325,98,37,194,102,25,134,-,354,352,138,29,52,107
Shanghai,14,87,61,288,21,25,112,12,23,479,298,184,21,341,-,14,54,140,36,4
Shenzhen,40,74,54,296,19,23,137,9,22,303,298,195,24,390,62,-,38,118,10,12
Singapore,58,57,28,139,4,9,98,44,7,355,106,96,57,198,69,92,-,96,20,43
Tanger Med,68,32,132,14,22,31,164,41,22,78,21,11,62,15,171,164,91,-,28,51
Tianjin,27,26,31,84,6,9,65,19,7,223,92,57,2,123,11,12,32,42,-,0
Xiamen,28,34,40,136,8,10,89,8,9,166,151,90,15,168,44,12,36,59,1,-
