Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,5,29,27,5,7,51,144,5,125,42,26,38,38,97,50,33,16,13,30
Cartagena,5,-,12,22,2,2,11,3,2,9,61,18,6,31,18,16,10,22,3,3
Colombo,15,9,-,20,12,16,111,11,14,8,23,19,12,32,41,40,62,18,4,11
Hamburg,7,22,22,-,2,3,32,5,2,7,54,18,7,32,25,25,12,29,3,7
Ho Chi Minh City,2,1,6,3,-,6,9,1,5,6,3,3,2,6,11,9,15,3,1,2
Jakarta,3,2,9,4,4,-,12,2,4,7,4,5,2,7,14,12,12,3,1,3
Jebel Ali,14,8,108,24,11,15,-,10,10,15,22,21,9,36,24,25,51,28,3,10
Kaohsiung,33,3,6,8,2,3,9,-,2,88,9,6,12,9,23,11,8,4,11,5
Laem Chabang,2,2,6,3,2,6,11,2,-,6,3,4,2,5,10,10,15,3,1,2
Los Angeles,59,16,15,12,5,7,24,28,6,-,49,10,44,17,95,51,19,8,19,27
New Jersey,10,88,21,53,2,3,24,7,2,33,-,31,9,65,31,29,10,24,3,8
Piraeus,7,12,18,11,2,2,25,4,2,6,17,-,6,26,21,19,10,25,2,5
Qingdao,14,4,12,11,2,4,18,25,2,121,16,11,-,12,31,11,15,8,5,1
Rotterdam,11,34,33,19,3,5,49,8,4,12,83,18,11,-,37,34,17,45,4,10
Shanghai,57,13,29,34,8,11,35,42,8,149,48,25,49,40,-,25,40,17,35,12
Shenzhen,33,11,34,36,9,12,53,27,10,38,53,29,8,48,19,-,44,16,7,3
Singapore,17,9,59,19,8,17,92,12,8,35,20,17,15,27,53,58,-,14,4,15
Tanger Med,6,22,19,16,2,4,27,3,2,4,23,13,5,24,19,17,11,-,2,5
Tianjin,10,3,10,9,2,3,16,6,2,24,11,7,12,13,26,8,13,5,-,0
Xiamen,23,4,15,15,3,3,25,15,3,19,18,13,5,19,14,55,19,7,1,-
