Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,264,"1,451","1,396",210,336,"2,348","6,899",233,"5,542","2,064","1,205","1,834","1,766","4,515","2,380","1,719",740,"1,126","1,334"
Cartagena,184,-,548,"1,040",104,132,537,117,94,430,"2,746",803,248,"1,494",803,668,484,"1,095",135,165
Colombo,"1,293",522,-,"1,805",618,794,"5,526",876,666,652,"1,643","1,604",997,"2,727","3,529","3,464","2,994","1,537",314,"1,040"
Hamburg,638,920,"1,911",-,192,263,"2,976",448,197,570,"2,473","1,605",569,"2,836","2,262","2,224","1,027","2,548",269,601
Ho Chi Minh City,230,120,736,399,-,670,"1,123",170,537,549,354,319,248,627,"1,207","1,142","1,813",304,124,248
Jakarta,320,171,"1,049",510,443,-,"1,540",216,466,770,524,654,275,855,"1,613","1,548","1,486",384,172,304
Jebel Ali,"1,163",347,"5,238","1,967",534,737,-,816,523,"1,111","1,078","1,699",802,"3,122","2,124","2,156","2,469","2,529",247,867
Kaohsiung,"2,477",154,468,638,152,210,625,-,159,"3,539",719,450,871,713,"1,643",761,587,336,810,401
Laem Chabang,250,129,733,399,226,751,"1,196",175,-,623,372,450,246,583,"1,209","1,168","1,810",294,155,240
Los Angeles,"2,700",574,781,526,235,312,"1,144","1,212",226,-,"2,257",506,"2,095",825,"4,424","2,421",889,351,846,"1,210"
New Jersey,693,"3,547","1,589","2,534",155,180,"1,130",525,136,"2,051",-,"1,503",647,"3,049","2,240","1,959",756,"1,105",249,578
Piraeus,569,772,"1,572","1,001",178,215,"2,300",378,153,451,"1,481",-,503,"2,390","1,884","1,655",876,"2,212",199,485
Qingdao,"1,135",243,"1,003",824,200,304,"1,440","1,056",187,"5,064","1,278",890,-,"1,037","2,660",902,"1,182",586,446,45
Rotterdam,968,"1,414","2,880","1,685",301,435,"4,390",701,333,842,"3,879","1,592",907,-,"3,153","3,090","1,459","4,010",349,846
Shanghai,"2,748",706,"2,571","2,902",739,951,"3,266","1,880",743,"5,818","3,597","2,245","2,476","3,594",-,"2,235","3,641","1,584","1,687",977
Shenzhen,"3,248",626,"2,896","3,133",801,"1,093","4,663","2,134",841,"2,906","3,863","2,573",743,"4,332","1,756",-,"3,927","1,414",648,262
Singapore,"1,449",515,"2,898","1,645",903,"2,115","4,655",994,946,"2,725","1,540","1,439","1,310","2,460","4,853","4,841",-,"1,282",360,"1,392"
Tanger Med,496,956,"1,650","1,468",213,311,"2,482",311,219,353,"1,090","1,220",458,"2,103","1,673","1,525","1,043",-,203,423
Tianjin,891,182,765,741,135,204,"1,315",548,155,"1,986",933,607,992,"1,138","2,135",618,"1,063",414,-,42
Xiamen,"1,903",243,"1,272","1,288",227,286,"2,129","1,227",247,"1,565","1,642","1,007",427,"1,657","1,134","4,369","1,571",618,42,-
