Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,34,58,159,10,15,129,92,12,515,200,116,9,193,35,57,57,76,5,25
Cartagena,33,-,61,39,14,18,57,20,14,95,33,41,48,54,113,100,57,32,31,30
Colombo,93,54,-,136,13,18,65,46,16,93,100,92,81,198,82,98,30,101,28,81
Hamburg,107,40,168,-,22,29,224,58,22,127,67,29,101,7,248,256,99,23,48,97
Ho Chi Minh City,36,17,27,43,-,8,53,10,2,78,32,27,37,64,40,42,15,28,22,24
Jakarta,58,23,34,51,4,-,67,13,5,107,46,53,44,81,93,55,6,33,35,29
Jebel Ali,101,40,63,128,17,26,-,51,18,167,118,80,75,191,73,85,53,138,30,84
Kaohsiung,18,26,31,87,12,14,52,-,12,312,85,56,24,95,49,36,34,44,9,16
Laem Chabang,40,18,24,41,4,7,54,10,-,90,33,37,34,58,69,41,10,27,27,20
Los Angeles,278,134,101,109,31,39,155,140,31,-,436,95,219,164,428,276,109,67,135,186
New Jersey,109,48,144,66,18,21,104,73,16,455,-,58,107,74,253,235,72,20,46,92
Piraeus,84,50,111,18,17,18,134,45,14,89,103,-,73,37,175,163,69,20,32,66
Qingdao,29,34,38,87,8,12,67,10,8,445,117,82,-,106,8,15,32,56,16,0
Rotterdam,157,58,249,4,33,46,323,93,37,190,97,25,149,-,353,350,138,28,61,107
Shanghai,14,92,61,287,20,25,111,13,23,484,296,184,21,341,-,14,54,139,34,4
Shenzhen,32,78,54,295,17,24,135,9,20,302,296,194,21,388,56,-,37,118,9,11
Singapore,45,60,28,139,4,9,97,43,7,351,105,96,49,198,69,92,-,96,16,40
Tanger Med,81,32,131,13,22,31,162,39,22,78,21,11,60,14,170,164,90,-,38,59
Tianjin,24,25,31,81,6,8,62,16,7,220,89,54,2,119,10,12,32,41,-,0
Xiamen,22,33,40,131,8,10,86,8,9,164,142,87,14,163,39,12,36,60,1,-
