Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,34,58,158,10,14,128,92,12,513,204,115,9,191,35,49,54,75,5,24
Cartagena,48,-,64,39,14,19,57,22,14,104,33,39,64,54,116,103,59,32,43,37
Colombo,148,51,-,137,13,17,65,49,16,95,101,93,112,197,82,97,30,101,62,98
Hamburg,131,40,168,-,22,29,224,61,23,128,67,29,122,7,249,256,99,23,85,94
Ho Chi Minh City,53,16,27,43,-,8,54,11,2,80,32,27,42,65,40,42,15,29,28,25
Jakarta,72,22,33,51,4,-,66,13,5,108,46,53,43,81,92,54,6,33,44,32
Jebel Ali,140,40,63,129,18,24,-,54,19,171,120,79,105,191,73,85,53,138,62,104
Kaohsiung,17,27,30,86,13,14,53,-,13,310,87,55,26,95,53,34,34,44,9,17
Laem Chabang,52,17,24,41,4,7,55,11,-,92,33,38,35,58,68,40,10,28,34,21
Los Angeles,276,134,102,110,31,39,157,140,32,-,445,95,217,165,426,276,109,68,127,143
New Jersey,144,48,145,66,18,21,102,76,16,482,-,55,117,75,254,235,73,20,71,95
Piraeus,102,51,111,18,17,19,134,46,15,91,103,-,95,38,175,163,69,20,54,75
Qingdao,32,34,39,89,8,11,68,10,8,445,121,82,-,107,8,16,33,56,16,0
Rotterdam,190,58,249,4,33,46,324,98,37,192,97,25,179,-,353,351,138,27,112,138
Shanghai,13,88,62,288,21,25,112,13,23,485,298,184,20,342,-,14,54,140,39,4
Shenzhen,31,74,55,297,18,23,137,9,21,307,298,195,23,391,60,-,37,119,9,11
Singapore,71,57,28,139,4,9,97,46,7,357,106,96,54,198,66,92,-,96,24,38
Tanger Med,107,32,131,13,22,31,163,41,22,78,21,11,91,14,171,164,91,-,61,65
Tianjin,26,25,32,81,6,8,64,16,7,219,91,55,2,120,10,12,32,41,-,0
Xiamen,21,33,40,133,8,9,88,8,9,168,145,88,15,164,44,12,36,60,1,-
