PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,18.80
2,6,10,18.96
3,11,15,18.98
4,16,20,19.05
5,21,25,18.41
6,26,30,18.56
7,31,35,19.10
8,36,40,19.07
9,41,45,18.59
10,46,50,18.35
11,51,55,18.49
12,56,60,18.84
13,61,65,18.53
14,66,70,18.79
15,71,75,19.42
16,76,80,19.02
17,81,85,19.29
18,86,90,19.17
19,91,95,19.24
20,96,100,19.87
21,101,105,20.14
22,106,110,20.77
23,111,115,21.39
24,116,120,21.66
25,121,125,22.45
26,126,130,22.18
27,131,135,20.79
28,136,140,21.32
29,141,145,21.85
30,146,150,22.51
31,151,155,21.51
32,156,160,22.23
33,161,165,22.84
34,166,170,23.96
35,171,175,24.55
36,176,180,25.17
37,181,185,22.93
38,186,190,23.37
39,191,195,24.00
40,196,200,24.24
41,201,205,24.14
42,206,210,24.74
43,211,215,25.23
44,216,220,22.58
45,221,225,22.69
46,226,230,22.71
47,231,235,23.62
48,236,240,23.92
49,241,245,24.66
50,246,250,22.86
51,251,255,22.37
52,256,260,22.88
53,261,265,23.74
54,266,270,23.06
55,271,275,23.73
56,276,280,24.03
57,281,285,23.45
58,286,290,23.80
59,291,295,24.59
60,296,300,25.19
61,301,305,25.76
62,306,310,26.65
63,311,315,25.03
64,316,320,25.66
65,321,325,25.52
66,326,330,25.65
67,331,335,25.89
68,336,340,26.30
69,341,345,26.83
70,346,350,25.98
71,351,355,26.39
72,356,360,26.49
,,OverallMean,22.42
,,PeriodStdDev,2.62
