Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,36,62,158,11,15,136,92,13,518,211,121,9,202,36,55,58,78,5,24
Cartagena,33,-,62,40,14,18,58,20,14,97,33,41,42,55,113,100,57,32,24,26
Colombo,66,54,-,137,14,17,64,46,17,94,99,93,53,197,82,97,30,100,20,42
Hamburg,91,40,168,-,22,30,224,59,22,130,66,28,85,7,249,256,99,23,40,77
Ho Chi Minh City,14,16,27,43,-,8,54,10,2,78,32,28,17,65,39,41,15,29,9,12
Jakarta,18,23,33,51,4,-,66,13,5,106,46,53,17,80,50,55,6,33,12,14
Jebel Ali,70,42,64,128,18,24,-,51,19,168,95,79,52,191,73,85,53,137,18,44
Kaohsiung,18,27,31,87,13,14,53,-,13,309,88,57,26,97,52,36,34,44,9,16
Laem Chabang,14,17,24,41,4,7,55,10,-,91,33,38,15,59,35,40,10,28,11,11
Los Angeles,276,133,101,109,31,39,156,139,32,-,434,94,217,164,426,274,108,67,101,141
New Jersey,98,48,144,67,18,21,105,73,16,464,-,58,95,75,253,234,72,20,39,75
Piraeus,71,49,111,18,17,19,135,45,14,92,101,-,63,37,176,163,69,20,26,53
Qingdao,33,35,38,92,8,12,69,10,8,449,127,85,-,111,8,16,33,59,19,0
Rotterdam,134,57,250,4,33,46,324,95,37,194,97,25,134,-,353,351,138,27,52,107
Shanghai,14,91,61,288,22,25,112,13,24,487,295,184,21,341,-,14,54,140,36,4
Shenzhen,40,77,54,296,20,23,137,9,23,323,295,195,25,390,62,-,38,118,11,12
Singapore,58,60,28,139,4,9,96,44,7,357,105,96,58,198,68,91,-,96,19,43
Tanger Med,69,32,131,13,22,31,163,39,22,79,21,11,63,14,170,164,91,-,29,51
Tianjin,28,27,31,85,6,9,65,18,7,227,95,58,2,124,10,12,32,42,-,0
Xiamen,27,34,41,138,9,10,91,8,10,175,150,91,15,169,44,13,36,60,1,-
