Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,6,34,32,6,8,58,174,6,134,45,30,40,40,105,54,37,16,14,31
Cartagena,4,-,12,22,2,2,11,3,2,8,63,18,6,31,18,16,10,23,3,3
Colombo,15,8,-,21,11,15,100,10,12,8,23,18,12,32,39,40,56,18,4,12
Hamburg,7,23,21,-,2,3,34,5,2,7,113,18,7,96,24,25,12,88,3,7
Ho Chi Minh City,2,1,6,3,-,6,9,1,4,5,3,3,2,6,10,9,16,3,1,2
Jakarta,3,2,9,4,4,-,13,2,3,7,4,5,2,7,13,12,12,3,1,3
Jebel Ali,14,6,100,24,10,13,-,10,9,14,18,20,9,36,24,25,48,28,3,10
Kaohsiung,29,2,6,7,2,3,8,-,2,94,9,5,11,8,20,10,7,4,10,5
Laem Chabang,2,1,6,3,2,6,11,2,-,6,3,4,2,5,10,10,14,3,1,2
Los Angeles,65,14,17,13,5,7,27,31,6,-,53,12,49,19,102,56,22,8,22,30
New Jersey,10,84,21,109,2,2,58,7,2,31,-,61,9,133,31,28,10,58,3,8
Piraeus,7,9,18,11,2,2,25,5,2,5,17,-,6,26,21,19,10,25,2,5
Qingdao,12,3,14,12,3,4,19,30,2,130,18,12,-,13,33,11,15,8,5,1
Rotterdam,11,33,32,54,4,5,49,8,4,10,178,18,11,-,38,34,16,144,4,10
Shanghai,63,11,28,33,9,10,35,48,8,162,51,25,55,40,-,25,40,17,34,13
Shenzhen,34,10,33,36,9,12,52,28,9,38,54,29,8,48,19,-,44,16,7,3
Singapore,17,9,51,19,8,17,82,12,8,33,21,17,14,28,54,56,-,14,4,15
Tanger Med,6,22,19,50,2,4,27,3,2,4,40,14,6,84,19,17,11,-,2,5
Tianjin,11,3,10,9,2,3,16,6,2,25,11,8,12,13,26,8,13,5,-,0
Xiamen,24,3,15,16,3,3,25,15,3,19,19,13,5,20,15,56,19,7,1,-
